player,birthday,yrs,from,to,pos
Kendall Williams,1959-02-07,1,1983,1983,DB
Keith Willis,1959-07-29,11,1982,1993,DE-NT
Lester Williams,1959-01-19,6,1982,1987,NT-DE
Mike Williams,1959-08-27,3,1982,1984,TE
Newton Williams,1959-05-10,2,1982,1983,RB
Toby Williams,1959-11-19,6,1983,1988,NT-DE-DT
Van Williams,1959-03-15,4,1983,1987,RB
Vince Williams,1959-10-24,2,1982,1983,RB
Dave Wilson,1959-04-27,7,1981,1988,QB
Wade Wilson,1959-02-01,17,1981,1998,QB
Sammy Winder,1959-07-15,9,1982,1990,RB
Jeff Wiska,1959-10-17,2,1986,1987,G
Leo Wisniewski,1959-11-06,3,1982,1984,NT
Mark Witte,1959-12-03,4,1983,1987,TE
John Woodring,1959-04-04,5,1981,1985,MLB
Rick Woods,1959-11-16,6,1982,1987,DB
Ron Wooten,1959-06-28,7,1982,1988,G
Eric Wright,1959-04-18,10,1981,1990,DB
Felix Wright,1959-06-22,9,1985,1993,DB
Steve Wright,1959-04-08,10,1981,1992,T-G-TE
Dave Young,1959-02-09,3,1981,1984,TE
Robert Abraham,1960-07-13,6,1982,1987,LB
Sid Abramowitz,1960-05-21,4,1983,1987,T
George Achica,1960-12-19,1,1985,1985,DT
Stan Adams,1960-05-22,1,1984,1984,LB
Gary Allen,1960-04-23,3,1982,1984,RB
Marcus Allen,1960-03-26,16,1982,1997,RB
Morten Andersen,1960-08-19,25,1982,2007,K
Hasson Arbubakrr,1960-12-09,2,1983,1984,DE
Walker Lee Ashley,1960-07-28,7,1983,1990,LILB
Kelvin Atkins,1960-07-03,1,1983,1983,LB
Cliff Austin,1960-03-02,5,1983,1987,RB
Steve Baack,1960-11-16,4,1984,1987,NT-G-DE-DT
Stacey Bailey,1960-02-10,9,1982,1990,WR
Jerry Baker,1960-03-06,1,1983,1983,NT
Brian Baldinger,1960-01-07,11,1982,1993,G-T-C
Keith Baldwin,1960-10-13,6,1982,1988,DE
Quinton Ballard,1960-11-18,1,1983,1983,DT
Doug Barnett,1960-04-12,4,1982,1987,DE
Rocky Belk,1960-06-20,1,1983,1983,WR
Rick Bell,1960-10-18,1,1983,1983,RB
Charles Benson,1960-11-21,4,1983,1987,DE
Albert Bentley,1960-08-15,8,1985,1992,RB
Ray Bentley,1960-11-25,7,1986,1992,LB
Greg Best,1960-01-14,2,1983,1984,DB
Steve Bird,1960-10-20,2,1983,1984,WR
Tony Boddie,1960-11-11,2,1986,1987,RB
Emil Boures,1960-01-29,4,1982,1985,T-C-G
Walt Bowyer,1960-09-08,4,1983,1988,DE
Carlos Bradley,1960-04-27,6,1981,1987,LB
Gene Branton,1960-11-23,2,1983,1985,WR
Chuck Bresnahan,1960-09-08,NA,NA,NA,Coach
James Britt,1960-09-12,5,1983,1987,DB
Mitchell Brookins,1960-12-10,2,1984,1985,WR
Jay Brophy,1960-07-27,4,1984,1987,LB
Joey Browner,1960-05-15,10,1983,1992,DB
Reggie Brown,1960-03-12,3,1982,1987,RB
Robert Brown,1960-05-21,11,1982,1992,DE
Steve Brown,1960-03-20,8,1983,1990,DB
Jeff Bryant,1960-05-22,12,1982,1993,DE-DT
Kelvin Bryant,1960-09-26,4,1986,1990,RB
Maury Buford,1960-02-18,9,1982,1991,P
Fernanza Burgess,1960-03-06,1,1984,1984,WR
Darryl Byrd,1960-09-03,3,1983,1987,LB
Bryan Caldwell,1960-05-06,1,1984,1984,DE
Darryl Caldwell,1960-02-02,1,1983,1983,TB-FB
John Cannon,1960-07-30,9,1982,1990,DE-NT
Brian Carpenter,1960-11-27,3,1982,1984,DB
Anthony Carter,1960-09-17,11,1985,1995,WR
Michael Carter,1960-10-29,9,1984,1992,NT
Milt Carthens,1960-12-22,1,1987,1987,T
Chris Castor,1960-08-13,2,1983,1984,WR
Jim Caver,1960-09-28,1,1983,1983,DB
Jeff Chadwick,1960-12-16,10,1983,1992,WR
Tony Chickillo,1960-07-08,3,1984,1987,NT-DE-G
Jeff Christensen,1960-01-08,2,1983,1987,QB
Bryan Clark,1960-07-27,1,1984,1984,QB
Jessie Clark,1960-01-03,8,1983,1990,RB
Steve Clark,1960-08-02,4,1982,1985,G-NT
Bob Clasby,1960-09-28,5,1986,1990,DT-DE
Jackie Cline,1960-03-13,4,1987,1990,DE-NT
Mike Cofer,1960-04-07,10,1983,1992,LB-DE
Ken Coffey,1960-11-07,3,1983,1986,DB
Will Cokeley,1960-12-06,1,1987,1987,LB
Darren Comeaux,1960-04-15,10,1982,1991,LILB
Joe Cooper,1960-10-30,2,1984,1986,K
Mark Cooper,1960-02-14,7,1983,1989,G-T
Anthony Corley,1960-08-10,2,1984,1985,RB
Joe Costello,1960-06-01,4,1986,1989,DE
Jimbo Covert,1960-03-22,8,1983,1990,T
Larry Cowan,1960-07-11,1,1982,1982,RB
Roger Craig,1960-07-10,11,1983,1993,RB
Derrick Crawford,1960-09-03,1,1986,1986,WR
August Curley,1960-01-24,4,1983,1986,LILB
Kenny Daniel,1960-06-01,3,1984,1987,DB
Byron Darby,1960-06-04,7,1983,1989,DE-NT
Jeff Davis,1960-01-26,6,1982,1987,LB
Case deBruijn,1960-04-11,1,1982,1982,P
Tony DeLuca,1960-11-16,1,1984,1984,NT
Richard Dent,1960-12-13,15,1983,1997,DE
Dennis DeVaughn,1960-10-28,2,1982,1983,DB
Rich Diana,1960-09-06,1,1982,1982,RB
Eric Dickerson,1960-09-02,11,1983,1993,RB
Jerry Doerger,1960-07-18,2,1982,1985,C-T
Steve Doig,1960-03-28,5,1982,1987,LB
John Dorsey,1960-08-31,5,1984,1988,RILB
Dan Doubiago,1960-09-25,1,1987,1987,T
Dave Drechsler,1960-07-18,2,1983,1984,G
Brian Dudley,1960-08-30,1,1987,1987,DB
Dave Duerson,1960-11-28,11,1983,1993,DB
Dan Dufour,1960-10-18,2,1983,1984,G
Brad Edelman,1960-09-03,8,1982,1989,G
Stan Edwards,1960-05-20,6,1982,1987,RB
Riki Ellison,1960-08-15,9,1983,1992,LB
John Elway,1960-06-28,16,1983,1998,QB
Major Everett,1960-01-04,5,1983,1987,RB
Paul Farren,1960-12-24,9,1983,1991,T-G
Sean Farrell,1960-05-25,11,1982,1992,G-T
Chris Faulkner,1960-04-13,2,1984,1985,TE
Grant Feasel,1960-06-28,8,1983,1992,C
Gerry Feehery,1960-03-09,6,1983,1988,C-G
George Floyd,1960-12-21,2,1982,1984,DB
Jerome Foster,1960-07-25,4,1983,1987,DE-DT
Roy Foster,1960-05-24,12,1982,1993,G-T
John Fourcade,1960-10-11,4,1987,1990,QB
Bobby Fowler,1960-09-11,1,1985,1985,FB
Tracy Franz,1960-03-26,1,1987,1987,G
Frank Frazier,1960-06-15,1,1987,1987,G
Jim Fritzsche,1960-10-11,1,1983,1983,T-G
Gregg Garrity,1960-11-24,7,1983,1989,WR
Willie Gault,1960-09-05,11,1983,1993,WR
Jumpy Geathers,1960-06-26,13,1984,1996,DE-DT
Clyde Glover,1960-07-16,1,1987,1987,DT
Darryl Goodlow,1960-11-02,1,1987,1987,LB
John Goodson,1960-03-18,1,1982,1982,P
Boyce Green,1960-06-24,5,1983,1987,RB
Darrell Green,1960-02-15,20,1983,2002,DB
David Greenwood,1960-03-25,3,1985,1988,DB
Anthony Griggs,1960-02-12,7,1982,1988,LB
Randy Grimes,1960-07-20,9,1983,1992,C-G
Steve Hammond,1960-02-25,1,1988,1988,LB
Anthony Hancock,1960-06-10,5,1982,1986,WR
Brian Hansen,1960-10-26,15,1984,1999,P
Greg Harding,1960-07-31,2,1984,1987,DB
John Harper,1960-06-12,1,1983,1983,LB
Bob Harris,1960-11-11,4,1983,1987,LLB
Leonard Harris,1960-11-27,9,1986,1994,WR
Perry Hartnett,1960-04-28,3,1982,1987,G
Joe Hayes,1960-09-15,1,1984,1984,RB-WR
James Haynes,1960-08-09,6,1984,1989,ROLB
Louis Haynes,1960-01-17,2,1982,1983,LB
Andy Headen,1960-07-08,6,1983,1988,LOLB
Bobby Hebert,1960-08-19,11,1985,1996,QB
Johnny Hector,1960-11-26,10,1983,1992,RB
Victor Heflin,1960-07-07,2,1983,1984,DB
Darryl Hemphill,1960-03-29,1,1982,1982,DB
Bernard Henry,1960-04-09,5,1982,1987,WR
Bob Hewko,1960-06-08,1,1983,1983,QB
Mark Hicks,1960-11-07,2,1983,1987,LB
Bob Holly,1960-06-01,2,1983,1985,QB
Doug Hollie,1960-12-15,2,1987,1988,DE
Eric Holle,1960-09-05,4,1984,1987,NT-DE
Rodney Holman,1960-04-20,14,1982,1995,TE
Tom Holmoe,1960-03-07,6,1983,1989,DB
Thomas Hopkins,1960-01-13,1,1983,1983,T
Doug Hoppock,1960-01-30,1,1987,1987,T-G
Ray Horton,1960-04-12,10,1983,1992,DB/Coach
Anthony Howard,1960-07-16,1,1987,1987,NT
Van Hughes,1960-11-14,2,1986,1987,DE
Tony Hunter,1960-05-22,4,1983,1986,TE
Donald Igwebuike,1960-12-27,6,1985,1990,K
Bill Jackson,1960-07-01,1,1982,1982,DB
Tom Jelesky,1960-10-04,2,1985,1986,T
Mark Jerue,1960-01-15,7,1983,1989,RILB
Bill Johnson,1960-10-31,3,1985,1987,RB
Bobby Johnson,1960-09-01,4,1983,1986,DB
Chris Johnson,1960-12-03,1,1987,1987,DB
Dan Johnson,1960-05-17,5,1983,1987,TE
Holbert Johnson,1960-07-14,1,1987,1987,DB
Norm Johnson,1960-05-31,18,1982,1999,K
Trumaine Johnson,1960-11-16,4,1985,1988,WR
Anthony Jones,1960-05-16,5,1984,1988,TE
Cedric Jones,1960-06-01,9,1982,1990,WR
Mike Jones,1960-04-14,6,1983,1989,WR
Wayne Jones,1960-02-10,1,1987,1987,G
Ken Kaplan,1960-01-12,3,1984,1987,T
Bill Kay,1960-01-10,4,1981,1984,DB
Jim Kelly,1960-02-14,11,1986,1996,QB
Mike Kerrigan,1960-04-27,2,1983,1984,QB
Tyrone Keys,1960-10-24,6,1983,1988,DE-LB
Jeff Kiewel,1960-09-27,2,1985,1987,G
David Kilson,1960-08-11,1,1983,1983,DB
Jon Kimmel,1960-07-21,2,1985,1987,LB
Tim King,1960-03-07,1,1987,1987,DB
Steve Korte,1960-01-15,7,1983,1989,C-G
Gary Kowalski,1960-07-02,5,1983,1988,T-G
John Krimm,1960-05-30,1,1982,1982,DB
Tim Krumrie,1960-05-20,12,1983,1994,NT-DT
Ken Lacy,1960-11-01,3,1984,1987,RB
Skip Lane,1960-01-30,2,1984,1987,DB
Jim Laughton,1960-01-18,1,1986,1986,TE
Albert Lewis,1960-10-06,16,1983,1998,DB
Marvin Lewis,1960-01-15,1,1982,1982,RB
Todd Liebenstein,1960-01-09,4,1982,1985,DE
Chris Lindstrom,1960-08-03,3,1983,1987,DE
Adam Lingner,1960-11-02,13,1983,1995,C
Ronnie Lippett,1960-12-10,8,1983,1991,DB
Howie Long,1960-01-06,13,1981,1993,DE-NT
Warren Loving,1960-11-12,1,1987,1987,RB
Oliver Luck,1960-04-05,4,1983,1986,QB
Joey Lumpkin,1960-02-19,2,1982,1983,LB
Allen Lyday,1960-09-16,4,1984,1987,DB
Mike Machurek,1960-07-22,1,1984,1984,QB
Cedric Mack,1960-09-14,11,1983,1993,DB
Lynn Madsen,1960-08-08,1,1986,1986,DT
Steve Maidlow,1960-06-06,4,1983,1987,LB
Rick Mallory,1960-10-21,4,1985,1988,G
Von Mansfield,1960-07-12,2,1982,1987,DB
Chris Martin,1960-12-19,12,1983,1994,LOLB
Mike Martin,1960-11-18,7,1983,1989,WR
Eugene Marve,1960-08-14,11,1982,1992,LB
Rick Massie,1960-01-16,2,1987,1988,WR
Ken McAlister,1960-04-15,5,1982,1987,LOLB
Orlando McDaniel,1960-12-01,1,1982,1982,WR
Reggie McElroy,1960-03-04,13,1983,1996,T-G
Vann McElroy,1960-01-13,9,1982,1990,DB
Buford McGee,1960-08-16,9,1984,1992,RB
Eddie McGill,1960-07-05,2,1982,1983,TE
Sylvester McGrew,1960-02-27,1,1987,1987,DE
Sean McInerney,1960-12-27,1,1987,1987,DE
Rick McIvor,1960-09-26,2,1984,1985,QB
Dana McLemore,1960-07-01,6,1982,1987,DB
Scott McLean,1960-12-16,1,1983,1983,LB
Miles McPherson,1960-03-30,4,1982,1985,DB
Dan McQuaid,1960-10-04,4,1985,1988,T-G
Mike Meade,1960-02-12,4,1982,1985,RB
Karl Mecklenburg,1960-09-01,12,1983,1994,LB-DE
Mike Merriweather,1960-11-26,11,1982,1993,LB
Pete Metzelaars,1960-05-24,16,1982,1997,TE
Frank Middleton,1960-10-28,3,1984,1987,RB
Bryan Millard,1960-12-02,8,1984,1991,G-T
Dan Miller,1960-12-30,1,1982,1982,K
John Miller,1960-09-22,1,1987,1987,LB
Frank Minnifield,1960-01-01,9,1984,1992,DB
Russell Mitchell,1960-12-28,1,1987,1987,C
Carl Monroe,1960-02-20,5,1983,1987,RB
Steve Moore,1960-10-01,5,1983,1987,T
Eric Moran,1960-06-10,3,1984,1986,T-G
Joe Morris,1960-09-15,8,1982,1991,RB
Tom Morris,1960-04-02,2,1982,1983,DB
Michael Morton,1960-02-06,5,1982,1987,RB
Davlin Mullen,1960-02-17,4,1983,1986,DB
Mike Munchak,1960-03-05,12,1982,1993,G/Coach
Ed Muransky,1960-01-20,3,1982,1984,T
Joe Murray,1960-11-07,1,1987,1987,G
Jesse Myles,1960-09-28,2,1983,1984,RB
Joe Nash,1960-10-11,15,1982,1996,NT-DT
Edmund Nelson,1960-04-30,7,1982,1988,DE-NT-DT
Karl Nelson,1960-06-14,4,1984,1988,T
Chuck Nelson,1960-02-23,5,1983,1988,K
Scott Nicolas,1960-08-07,6,1982,1987,LILB
Scott Norwood,1960-07-17,7,1985,1991,K
Ken O'Brien,1960-11-27,10,1984,1993,QB
Tony Office,1960-02-24,1,1987,1987,LB
Dave Opfar,1960-01-16,1,1987,1987,NT
Sandy Osiecki,1960-05-18,1,1984,1984,QB
Dennis Owens,1960-02-24,5,1982,1986,NT
Dave Pacella,1960-02-07,1,1984,1984,C-G
Chuck Pagano,1960-10-02,NA,NA,NA,Coach
Mike Pagel,1960-09-13,12,1982,1993,QB
Lee Paige,1960-10-16,1,1987,1987,DB
Bubba Paris,1960-10-06,9,1983,1991,T-G
Chet Parlavecchio,1960-02-14,1,1983,1983,LB
Andre Patterson,1960-06-12,NA,NA,NA,Coach
Darrell Pattillo,1960-09-28,1,1983,1983,DB
Elvis Patterson,1960-10-21,10,1984,1993,DB
George Peoples,1960-08-25,4,1982,1985,RB
Jim Perryman,1960-12-23,2,1985,1987,DB
Irvin Phillips,1960-01-23,2,1981,1983,DB
Kirk Phillips,1960-07-31,1,1984,1984,WR
Reggie Phillips,1960-12-12,4,1985,1988,DB
Mike Pitts,1960-09-25,12,1983,1994,DT-DE
Gary Plummer,1960-01-26,12,1986,1997,LB
Ricky Porter,1960-01-14,3,1982,1987,RB
Joe Prokop,1960-07-07,7,1985,1992,P
David Pyles,1960-09-03,1,1987,1987,T
Bernard Quarles,1960-01-04,1,1987,1987,QB
John Rade,1960-08-31,9,1983,1991,LB
Lou Rash,1960-06-05,2,1984,1987,DB
Randy Rasmussen,1960-09-27,5,1984,1988,C-G
Barry Redden,1960-07-21,9,1982,1990,RB
Doug Reed,1960-07-16,7,1984,1990,DE-DT
Alan Reid,1960-09-06,1,1987,1987,RB
Bruce Reimers,1960-09-28,10,1984,1993,G-T
Gerald Riggs,1960-11-06,10,1982,1991,RB
Dave Rimington,1960-05-22,7,1983,1989,C
Tim Riordan,1960-07-15,1,1987,1987,QB
Shelton Robinson,1960-09-14,7,1982,1988,LILB
Del Rodgers,1960-06-22,4,1982,1988,RB
John Rodgers,1960-02-07,3,1982,1984,TE
Doug Rogers,1960-06-23,4,1982,1986,DE
Durwood Roquemore,1960-01-19,3,1982,1987,DB
Curtis Rouse,1960-07-13,6,1982,1987,G-T
Rob Rubick,1960-09-27,7,1982,1988,TE
Guy Ruff,1960-08-18,1,1982,1982,LB
Roger Ruzek,1960-12-17,7,1987,1993,K
Ricky Sanders,1960-09-30,10,1986,1995,WR
Ed Schenk,1960-12-20,1,1987,1987,TE
Art Schlichter,1960-04-25,3,1982,1985,QB
Chris Schultz,1960-02-16,2,1983,1985,T
Jody Schulz,1960-08-17,4,1983,1987,LB
Carlos Scott,1960-07-02,3,1983,1985,C-T
Lindsay Scott,1960-12-06,4,1982,1985,WR
Bucky Scribner,1960-07-11,5,1983,1989,P
Randy Sealby,1960-05-16,1,1987,1987,LB
Luis Sharpe,1960-06-16,13,1982,1994,T
Joe Shearin,1960-04-16,4,1983,1987,G-C
Bret Shugarts,1960-02-17,1,1987,1987,DE
Mark Shumate,1960-03-30,1,1985,1985,NT
Cleo Simmons,1960-10-21,1,1983,1983,TE
Jeff Simmons,1960-07-06,1,1983,1983,WR
Doug Smith,1960-06-13,8,1985,1992,NT-DT
Gary Smith,1960-01-27,1,1984,1984,G
Jimmy Smith,1960-09-25,2,1984,1987,RB
Ken Smith,1960-10-16,1,1987,1987,G
Leonard Smith,1960-09-02,9,1983,1991,DB
Phil Smith,1960-04-28,4,1983,1987,WR
Ricky Smith,1960-07-20,4,1982,1987,DB-WR
Jeff Spek,1960-10-01,1,1986,1986,TE
Tim Spencer,1960-12-10,6,1985,1990,RB
Greg Storr,1960-10-16,1,1987,1987,LB
Rich Strenger,1960-03-10,5,1983,1987,T
Vince Stroth,1960-11-25,3,1985,1988,T-G-TE
Mark Studaway,1960-09-20,3,1984,1987,DE
Mickey Sutton,1960-08-28,5,1986,1990,DB
Darryl Talley,1960-07-10,14,1983,1996,LB
Malcolm Taylor,1960-06-20,6,1982,1989,DE
Rob Taylor,1960-11-14,8,1986,1993,T
Richard Tharpe,1960-10-31,1,1987,1987,DE-NT
Andre Thomas,1960-11-28,1,1987,1987,RB
Broderick Thompson,1960-08-14,11,1985,1996,T-G
Calvin Thomas,1960-01-07,7,1982,1988,RB
Chuck Thomas,1960-12-24,7,1985,1992,C
Ken Thomas,1960-02-11,1,1983,1983,RB
Kelly Thomas,1960-09-09,3,1983,1987,T
Robert Thompson,1960-02-04,3,1983,1987,LB
Zach Thomas,1960-09-08,2,1983,1984,WR
John Tice,1960-06-22,10,1983,1992,TE
Marco Tongue,1960-04-06,2,1983,1984,DB
Jo-Jo Townsell,1960-11-04,6,1985,1990,WR
Mark Tuinei,1960-03-31,15,1983,1997,T-C-DT
Bill Turner,1960-03-05,1,1987,1987,G
Calvin Turner,1960-04-10,1,1987,1987,DE
Maurice Turner,1960-09-10,3,1984,1987,RB
Mike Turner,1960-09-10,1,1987,1987,G
Keith Uecker,1960-06-29,8,1982,1991,T-G
Byron Walker,1960-07-28,5,1982,1986,WR
Danny Walters,1960-11-04,5,1983,1987,DB
Mike Walter,1960-11-30,11,1983,1993,LB
David Warnke,1960-12-30,1,1983,1983,K
John Warren,1960-11-08,2,1983,1984,P
Lionel Washington,1960-10-21,15,1983,1997,DB
Sam Washington,1960-03-07,4,1982,1985,DB
Bobby Watkins,1960-05-31,7,1982,1988,DB
Robert Weathers,1960-09-13,5,1982,1986,RB
Emanuel Weaver,1960-06-28,2,1982,1987,NT
Mike Weddington,1960-10-09,5,1986,1990,LB
Al Wenglikowski,1960-08-03,2,1984,1987,LB
Ron Wetzel,1960-11-10,1,1983,1983,TE
Mike Wilcher,1960-03-20,9,1983,1991,LB
Byron Williams,1960-10-31,3,1983,1985,WR
Dokie Williams,1960-08-25,5,1983,1987,WR
Eric Williams,1960-02-21,5,1983,1987,DB
Eugene Williams,1960-06-15,2,1982,1983,LB
Jamie Williams,1960-02-25,12,1983,1994,TE
Jimmy Williams,1960-11-15,12,1982,1993,LB
John Williams,1960-10-26,3,1985,1987,RB
Leonard Williams,1960-06-27,1,1987,1987,RB
Oliver Williams,1960-10-17,3,1985,1987,WR
Richard Williams,1960-08-13,2,1983,1984,RB
Ricky Williams,1960-04-27,2,1985,1987,RB
Brett Wilson,1960-12-29,1,1987,1987,RB
Darryal Wilson,1960-09-19,1,1983,1983,WR
Blake Wingle,1960-04-17,4,1983,1987,G
Chet Winters,1960-10-22,1,1983,1983,RB
George Wonsley,1960-11-23,6,1984,1989,RB
Ken Woodard,1960-01-22,8,1982,1989,ROLB
Butch Woolfolk,1960-03-01,7,1982,1988,RB
Tim Wrightman,1960-03-27,2,1985,1986,TE
Andre Young,1960-11-22,3,1982,1984,DB
Ben Young,1960-01-13,1,1983,1983,TE
Glen Young,1960-10-11,5,1983,1988,WR
Tyrone Young,1960-04-29,2,1983,1984,WR
Tony Zendejas,1960-05-15,11,1985,1995,K
Joaquin Zendejas,1960-01-14,1,1983,1983,K
Jon Zogg,1960-11-19,1,1987,1987,G
Fred Acorn,1961-03-17,1,1984,1984,DB
Mark Adickes,1961-04-22,6,1986,1991,G
Earl Allen,1961-10-24,1,1987,1987,DB
Patrick Allen,1961-08-26,7,1984,1990,DB
Jim Althoff,1961-09-27,1,1987,1987,DT
Alfred Anderson,1961-08-04,8,1984,1991,RB
Brad Anderson,1961-01-21,2,1984,1985,WR
Dwayne Anderson,1961-12-07,1,1987,1987,DB
Gary Anderson,1961-04-18,8,1985,1993,RB
Jim Arnold,1961-01-31,12,1983,1994,P
Jess Atkinson,1961-12-11,4,1985,1988,K
Scott Auer,1961-10-04,2,1984,1985,G-T
Dowe Aughtman,1961-01-28,1,1984,1984,DT
David Aupiu,1961-02-10,1,1987,1987,LB
Bob Babich,1961-02-20,NA,NA,NA,Coach
Don Bailey,1961-03-24,2,1984,1985,C
Tom Baldwin,1961-05-13,4,1984,1988,NT-DT-DE
Ted Banker,1961-02-17,6,1984,1989,G-C-T
Earnest Barnes,1961-02-10,1,1983,1983,DE
Bill Bates,1961-06-06,15,1983,1997,DB
Ralph Battle,1961-06-15,1,1984,1984,DB
Mark Behning,1961-09-26,1,1986,1986,T
Kevin Belcher,1961-02-23,2,1983,1984,C-G
Kevin Belcher,1961-11-09,2,1985,1987,T
Billy Bell,1961-01-16,2,1989,1991,DB
Dan Benish,1961-11-21,5,1983,1987,DT
Roy Bennett,1961-07-05,2,1988,1989,DB
Cliff Benson,1961-08-28,4,1984,1988,TE
Thomas Benson,1961-09-06,9,1984,1992,RLB
Scott Bergold,1961-11-19,1,1985,1985,T
Dwight Beverly,1961-12-05,1,1987,1987,RB
Frank Bianchini,1961-05-27,1,1987,1987,RB
Dwight Bingham,1961-08-05,1,1987,1987,DE
Mike Black,1961-01-18,5,1983,1987,P
Todd Blackledge,1961-02-25,7,1983,1989,QB
Carl Bland,1961-08-17,7,1984,1990,WR
Rickey Bolden,1961-09-08,6,1984,1989,T-TE-G
Kyle Borland,1961-07-05,1,1987,1987,LB
Mark Bortz,1961-02-12,12,1983,1994,G
Keith Bostic,1961-01-17,7,1983,1990,DB
Jerome Boyd,1961-09-18,1,1983,1983,LB
Robert Brannon,1961-03-26,1,1987,1987,DE
Bud Brown,1961-04-19,5,1984,1988,DB
Marc Brown,1961-05-07,1,1987,1987,WR
Mark Brown,1961-07-18,9,1983,1991,RILB
Norris Brown,1961-07-10,1,1983,1983,TE
Ron Brown,1961-03-31,8,1984,1991,WR
Nick Bruckner,1961-05-19,3,1983,1985,WR
Derek Bunch,1961-10-28,1,1987,1987,LB
Joe Burke,1961-02-09,1,1987,1987,RB
Dave Burnette,1961-03-24,1,1987,1987,T
Chuck Butler,1961-12-18,1,1984,1984,LB
Jerry Butler,1961-12-07,1,1987,1987,RB
Gill Byrd,1961-02-20,10,1983,1992,DB
Mossy Cade,1961-12-26,2,1985,1986,DB
Tony Caldwell,1961-04-01,4,1983,1987,LB
Kevin Call,1961-11-13,10,1984,1993,T
Cam Cameron,1961-02-06,NA,NA,NA,Coach
Jack Cameron,1961-11-05,1,1984,1984,WR
Reggie Camp,1961-02-28,6,1983,1988,DE
Billy Cannon,1961-10-08,1,1984,1984,LB
Wayne Capers,1961-05-17,4,1983,1986,WR
Jay Carroll,1961-11-08,2,1984,1985,TE
Paul Ott Carruth,1961-07-22,4,1986,1989,RB
Jimmie Carter,1961-07-26,1,1987,1987,LB
Maurice Carthon,1961-04-24,8,1985,1992,RB/Coach
Dale Carver,1961-03-05,1,1983,1983,LB
Jeremiah Castille,1961-01-15,6,1983,1988,DB
Frank Cephous,1961-07-04,1,1984,1984,RB
Mike Chapman,1961-02-10,1,1984,1984,C-G
Bill Cherry,1961-01-05,2,1986,1987,C-G
Raphel Cherry,1961-12-19,3,1985,1988,DB
Bret Clark,1961-02-24,3,1986,1988,DB
Darryl Clark,1961-08-09,1,1987,1987,RB
Harvey Clayton,1961-04-04,5,1983,1987,DB
Mark Clayton,1961-04-08,11,1983,1993,WR
Sherman Cocroft,1961-08-29,5,1985,1989,DB
Dwight Collins,1961-08-23,1,1984,1984,WR
Fabray Collins,1961-09-16,1,1987,1987,LB
Reggie Collier,1961-05-14,2,1986,1987,QB
Trent Collins,1961-05-18,1,1987,1987,DB
Jeff Colter,1961-04-23,2,1984,1987,DB
Bill Contz,1961-05-12,6,1983,1988,T
Joe Conwell,1961-02-24,2,1986,1987,T
Fred Cornwell,1961-08-07,2,1984,1985,TE
Martin Cornelson,1961-06-04,1,1987,1987,C
Matt Courtney,1961-12-21,1,1987,1987,DB
Arthur Cox,1961-02-05,9,1983,1991,TE
Craig Curry,1961-07-20,4,1984,1987,DB
Ivory Curry,1961-02-06,1,1987,1987,DB
Dave D'Addio,1961-07-13,1,1984,1984,RB
Eugene Daniel,1961-05-04,14,1984,1997,DB
Billy Davis,1961-12-06,1,1984,1984,LB
Tyrone Davis,1961-11-17,1,1985,1985,DB
Julius Dawkins,1961-01-04,2,1983,1984,WR
Doug Dawson,1961-12-27,8,1984,1994,G
Kiki DeAyala,1961-10-23,2,1986,1987,LB
Steve DeLine,1961-08-19,2,1988,1989,K
Glenn Dennison,1961-11-17,2,1984,1987,TE
Fred DiRenzo,1961-01-28,1,1987,1987,FB
Chris Doleman,1961-10-16,15,1985,1999,DE-LB
Chris Dressel,1961-02-07,9,1983,1992,TE
Mark Duda,1961-02-04,5,1983,1987,DT
Joe Dufek,1961-08-23,2,1983,1984,QB
Jim Dumont,1961-07-16,1,1984,1984,LB
Craig Dunaway,1961-03-27,1,1983,1983,TE
Clyde Duncan,1961-02-05,2,1984,1985,WR
Myron Dupree,1961-10-15,1,1983,1983,DB
Bo Eason,1961-03-10,4,1984,1987,DB
Irv Eatman,1961-01-01,11,1986,1996,T
Randy Edwards,1961-03-09,4,1984,1987,DE-NT
Chuck Ehin,1961-07-01,5,1983,1987,NT-DE-LB
Andy Ekern,1961-07-26,1,1984,1984,TE
Clifton Eley,1961-06-21,1,1987,1987,TE
Henry Ellard,1961-07-21,16,1983,1998,WR
Craig Ellis,1961-01-26,2,1986,1987,RB
Boomer Esiason,1961-04-17,14,1984,1997,QB
Leon Evans,1961-10-12,2,1985,1986,DE
Rob Fada,1961-05-07,3,1983,1985,G
Paul Fairchild,1961-09-14,7,1984,1990,G-C
John Farley,1961-08-11,1,1984,1984,RB
Dan Fike,1961-06-16,9,1985,1993,G-T
Steve Finch,1961-01-02,1,1987,1987,WR
Harry Flaherty,1961-12-25,1,1987,1987,LB
Chris Foerster,1961-10-12,NA,NA,NA,Coach
Elbert Foules,1961-07-04,5,1983,1987,DB
Keith Fourcade,1961-10-20,1,1987,1987,LB
Dennis Fowlkes,1961-03-11,4,1983,1987,RILB
Mike Freeman,1961-10-13,4,1984,1988,C-G
David Frye,1961-06-21,7,1983,1989,LLB
Scott Fulhage,1961-01-17,6,1987,1992,P
Duane Galloway,1961-11-07,3,1985,1987,DB
Jim Gallery,1961-09-15,3,1987,1990,K
Vincent Gamache,1961-11-18,2,1986,1987,P
Ellis Gardner,1961-09-16,2,1983,1984,T-G
