player,birthday,yrs,from,to,team
Viktor Svedberg,1991-05-24,0,2016,2016,CHI
Pat Verbeek,1964-05-24,19,1983,2002,"NJD,HAR,NYR,DAL,DET"
Russ Walker,1953-05-24,1,1977,1978,LAK
Michael Anderson,1999-05-25,0,2020,2020,LAK
Matt Benning,1994-05-25,3,2017,2020,EDM
Kyle Brodziak,1984-05-25,13,2006,2019,"EDM,MIN,STL"
Wayne Dillon,1955-05-25,4,1976,1980,"NYR,WIN"
Nikita Filatov,1990-05-25,3,2009,2012,"CBJ,OTT"
Nick Fotiu,1952-05-25,12,1977,1989,"NYR,HAR,CGY,PHI,EDM"
Pat Graham,1961-05-25,2,1982,1984,"PIT,TOR"
Jon Kalinski,1987-05-25,1,2009,2010,PHI
Dan Keczmer,1968-05-25,9,1991,2000,"MNS,HAR,CGY,DAL,NSH"
Joel Kellman,1994-05-25,0,2020,2020,SJS
Janne Kuokkanen,1998-05-25,2,2018,2020,"CAR,NJD"
Michael Latta,1991-05-25,2,2014,2016,WSH
Mickey MacKay*,1894-05-25,3,1927,1930,"CBH,BOS,PTP"
Morris Mott,1946-05-25,2,1973,1975,CGS
Matt Murray,1994-05-25,4,2016,2020,PIT
Ric Nattress,1962-05-25,10,1983,1993,"MTL,STL,CGY,TOR,PHI"
David Pastrnak,1996-05-25,5,2015,2020,BOS
Robert Picard,1957-05-25,12,1978,1990,"WSH,MTL,TOR,WIN,QUE,DET"
Jim Riley,1895-05-25,0,1927,1927,"CBH,DTC"
David Shaw,1964-05-25,15,1983,1998,"QUE,NYR,EDM,MNS,BOS,TBL"
Brad Turner,1968-05-25,0,1992,1992,NYI
Rick Wamsley,1959-05-25,12,1981,1993,"MTL,STL,CGY,TOR"
Wally Wilson,1921-05-25,0,1948,1948,BOS
Andy Wozniewski,1980-05-25,4,2006,2010,"TOR,STL,BOS"
Mathew Barzal,1997-05-26,3,2017,2020,NYI
Louis Berlinguette,1887-05-26,8,1918,1926,"MTL,MTM,PTP"
Chad Billins,1989-05-26,0,2014,2014,CGY
Chris Clifford,1966-05-26,4,1985,1989,"CBH,CHI"
Lorne Ferguson,1930-05-26,9,1950,1959,"BOS,DET,CBH"
Steven Goertzen,1984-05-26,4,2006,2010,"CBJ,PHX,CAR"
Matt Herr,1976-05-26,4,1999,2003,"WSH,FLA,BOS"
Josh Leivo,1993-05-26,6,2014,2020,"TOR,VAN"
Junior Lessard,1980-05-26,2,2006,2008,"DAL,TBL"
Ron Meighan,1963-05-26,1,1982,1983,"MNS,PIT"
Ralph Nattrass,1925-05-26,3,1947,1950,CBH
Steven Rice,1971-05-26,7,1991,1998,"NYR,EDM,HAR,CAR"
Pat Riggin,1959-05-26,8,1980,1988,"ATF,CGY,WSH,BOS,PIT"
P.J. Stock,1975-05-26,6,1998,2004,"NYR,MTL,PHI,BOS"
Christian Thomas,1992-05-26,3,2013,2016,"NYR,MTL,ARI"
Mike Vernace,1986-05-26,2,2009,2011,"COL,TBL"
Jimmy Vesey,1993-05-26,3,2017,2020,"NYR,BUF"
Jim Bartlett,1932-05-27,6,1955,1961,"MTL,NYR,BOS"
Bob Charlebois,1944-05-27,0,1968,1968,MNS
Bobby Crawford,1960-05-27,2,1981,1983,"CLR,DET"
Evgeny Davydov,1967-05-27,3,1992,1995,"WIN,FLA,OTT"
Nic Dowd,1990-05-27,4,2016,2020,"LAK,VAN,WSH"
Chris Felix,1964-05-27,2,1989,1991,WSH
Jonathan Girard,1980-05-27,4,1999,2003,BOS
Adam Hauser,1980-05-27,0,2006,2006,LAK
Ike Hildebrand,1927-05-27,1,1954,1955,"CBH,NYR"
Darren Jensen,1960-05-27,1,1985,1986,PHI
Marcus Kruger,1990-05-27,8,2011,2019,"CHI,CAR"
Rick McCann,1944-05-27,7,1968,1975,DET
Nelson Nogier,1996-05-27,2,2017,2019,WPG
Ellard O'Brien,1930-05-27,0,1956,1956,BOS
Richard Park,1976-05-27,17,1995,2012,"PIT,MDA,PHI,MIN,VAN,NYI"
Ashton Sautner,1994-05-27,2,2018,2020,VAN
Andre Savage,1975-05-27,4,1999,2003,"BOS,PHI"
Ray Sheppard,1966-05-27,12,1988,2000,"BUF,NYR,DET,FLA,SJS,CAR"
Gaston Therrien,1960-05-27,2,1981,1983,QUE
Ed Van Impe,1940-05-27,10,1967,1977,"CBH,PHI,PIT"
Herbert Vasiljevs,1976-05-27,3,1999,2002,"FLA,ATL,VAN"
Ed Vokes,1909-05-27,0,1931,1931,CBH
Chris Wagner,1991-05-27,5,2015,2020,"ANA,COL,NYI,BOS"
Clarence Abel,1900-05-28,7,1927,1934,"NYR,CBH"
Reid Bailey,1956-05-28,3,1981,1984,"PHI,TOR,HAR"
Bob Bodak,1961-05-28,2,1988,1990,"CGY,HAR"
Conrad Bourcier,1915-05-28,0,1936,1936,MTL
Erik Cernak,1997-05-28,1,2019,2020,TBL
Terry Crisp,1943-05-28,11,1966,1977,"BOS,STL,NYI,PHI"
Marcel Fillion,1923-05-28,0,1945,1945,BOS
Doug Hicks,1955-05-28,8,1975,1983,"MNS,CBH,EDM,WSH"
Red Horner*,1909-05-28,11,1929,1940,TOR
Mark Howe*,1955-05-28,15,1980,1995,"HAR,PHI,DET"
Jim Hrivnak,1968-05-28,4,1990,1994,"WSH,WIN,STL"
Matt Hussey,1979-05-28,3,2004,2007,"PIT,DET"
Gary Inness,1949-05-28,7,1974,1981,"PIT,PHI,WSH"
Jack Lynch,1952-05-28,6,1973,1979,"PIT,DET,WSH"
Lou Marcon,1935-05-28,4,1959,1963,DET
Jim Moxey,1953-05-28,2,1975,1977,"CGS,CLE,LAK"
Kevin O'Shea,1947-05-28,2,1971,1973,"BUF,STL"
Pat Peake,1973-05-28,4,1994,1998,WSH
David Perron,1988-05-28,12,2008,2020,"STL,EDM,PIT,ANA,VEG"
Jean-Francois Quintin,1969-05-28,1,1992,1993,SJS
Jonathan Racine,1993-05-28,0,2014,2014,FLA
Brogan Rafferty,1995-05-28,0,2019,2019,VAN
Damian Rhodes,1969-05-28,11,1991,2002,"TOR,OTT,ATL"
David Roberts,1970-05-28,4,1994,1998,"STL,EDM,VAN"
Claudio Scremin,1968-05-28,1,1992,1993,SJS
Todd Simpson,1973-05-28,10,1996,2006,"CGY,FLA,PHX,MDA,OTT,CHI,MTL"
Ted Snell,1946-05-28,1,1974,1975,"PIT,DET,KCS"
Gord Strate,1935-05-28,2,1957,1959,DET
Errol Thompson,1950-05-28,10,1971,1981,"TOR,DET,PIT"
Ron Wilson,1955-05-28,10,1978,1988,"TOR,MNS"
Petteri Wirtanen,1986-05-28,0,2008,2008,ANA
Jason Allison,1975-05-29,12,1994,2006,"WSH,BOS,LAK,TOR"
Bob Bailey,1931-05-29,4,1954,1958,"TOR,CBH,DET"
Willie Brossart,1949-05-29,5,1971,1976,"PHI,TOR,WSH"
Patrick Brown,1992-05-29,5,2015,2020,"CAR,VEG"
Bill Carse,1914-05-29,3,1939,1942,"NYR,CBH"
Art Chapman,1906-05-29,9,1931,1940,"BOS,NYA"
Marc D'Amour,1961-05-29,3,1986,1989,"CGY,PHI"
Jason Dawe,1973-05-29,8,1994,2002,"BUF,NYI,MTL,NYR"
Nathan Horton,1985-05-29,10,2004,2014,"FLA,BOS,CBJ"
Mike Keane,1967-05-29,15,1989,2004,"MTL,COL,DAL,NYR,STL,VAN"
Claude Loiselle,1963-05-29,12,1982,1994,"DET,NJD,QUE,TOR,NYI"
Saku Maenalanen,1994-05-29,0,2019,2019,CAR
Steve Mason,1988-05-29,9,2009,2018,"CBJ,PHI,WPG"
Alyn McCauley,1977-05-29,9,1998,2007,"TOR,SJS,LAK"
Jim McCrimmon,1953-05-29,0,1975,1975,STL
Steve McKichan,1967-05-29,0,1991,1991,VAN
Jarmo Myllys,1965-05-29,3,1989,1992,"MNS,SJS"
Brian Noonan,1965-05-29,11,1988,1999,"CHI,NYR,STL,VAN,PHX"
Chris Porter,1984-05-29,7,2009,2016,"STL,MIN"
Moe Robinson,1957-05-29,0,1980,1980,MTL
Alex Smart,1918-05-29,0,1943,1943,MTL
Ken Thompson,1881-05-29,0,1918,1918,MTW
Nikolai Tsulygin,1975-05-29,0,1997,1997,MDA
Mike Bishai,1979-05-30,0,2004,2004,EDM
Kevin Boyle,1992-05-30,0,2019,2019,ANA
Rick Heinz,1955-05-30,4,1981,1985,"STL,VAN"
Wes Jarvis,1958-05-30,8,1980,1988,"WSH,MNS,LAK,TOR"
Greg Joly,1954-05-30,8,1975,1983,"WSH,DET"
Scott Laughton,1994-05-30,7,2013,2020,PHI
Jackie Leclair,1929-05-30,2,1955,1957,MTL
Francis Lessard,1979-05-30,9,2002,2011,"ATL,OTT"
Andrei Loktionov,1990-05-30,4,2010,2014,"LAK,NJD,CAR"
Eddie McCalmon,1902-05-30,3,1928,1931,"CBH,PHQ"
Vic Ripley,1906-05-30,6,1929,1935,"CBH,BOS,NYR,STE"
Jiri Slegr,1971-05-30,13,1993,2006,"VAN,EDM,PIT,ATL,DET,BOS"
Vern Smith,1964-05-30,0,1985,1985,NYI
Alexander Sulzer,1984-05-30,5,2009,2014,"NSH,FLA,BUF,VAN"
Jeff Teal,1960-05-30,0,1985,1985,MTL
Gilles Villemure,1940-05-30,13,1964,1977,"NYR,CBH"
Aaron Volpatti,1985-05-30,4,2011,2015,"VAN,WSH"
David Warsofsky,1990-05-30,4,2014,2018,"BOS,NJD,PIT,COL"
David Wilkie,1974-05-30,6,1995,2001,"MTL,TBL,NYR"
Greg Adams,1960-05-31,9,1981,1990,"PHI,HAR,WSH,EDM,VAN,DET,QUE"
Joel Armia,1993-05-31,5,2015,2020,"BUF,WPG,MTL"
Bill Bennett,1953-05-31,1,1979,1980,"BOS,HAR"
Nicolas Blanchard,1987-05-31,0,2013,2013,CAR
Michael Bournival,1992-05-31,4,2014,2018,"MTL,TBL"
Jim Carey,1974-05-31,4,1995,1999,"WSH,BOS,STL"
Gordie Clark,1952-05-31,1,1975,1976,BOS
Ray Cote,1961-05-31,1,1984,1985,EDM
Art Coulter*,1909-05-31,10,1932,1942,"CBH,NYR"
Jim Craig,1957-05-31,4,1980,1984,"ATF,BOS,MNS"
Doug Doull,1974-05-31,2,2004,2006,"BOS,WSH"
Pierre Engvall,1996-05-31,0,2020,2020,TOR
Erik Karlsson,1990-05-31,10,2010,2020,"OTT,SJS"
Greg Leeb,1977-05-31,0,2001,2001,DAL
Jean Lemieux,1952-05-31,4,1974,1978,"ATF,WSH"
Marquis Mathieu,1973-05-31,2,1999,2001,BOS
Sam McAdam,1908-05-31,0,1931,1931,NYR
Jared McCann,1996-05-31,4,2016,2020,"VAN,FLA,PIT"
Jeff Odgers,1969-05-31,11,1992,2003,"SJS,BOS,COL,ATL"
Rick Shinske,1955-05-31,2,1977,1979,"CLE,STL"
Bob Sneddon,1944-05-31,0,1971,1971,CGS
Corey Spring,1971-05-31,1,1998,1999,TBL
Petr Tenkrat,1977-05-31,6,2001,2007,"MDA,NSH,BOS"
Tiny Thompson*,1903-05-31,11,1929,1940,"BOS,DET"
Murray Baron,1967-06-01,14,1990,2004,"PHI,STL,MTL,PHX,VAN"
Emil Bemstrom,1999-06-01,0,2020,2020,CBJ
Danny Bois,1983-06-01,0,2007,2007,OTT
Serge Boisvert,1959-06-01,5,1983,1988,"TOR,MTL"
Henry Boucha,1951-06-01,5,1972,1977,"DET,MNS,KCS,CLR"
Paul Coffey*,1961-06-01,20,1981,2001,"EDM,PIT,LAK,DET,HAR,PHI,CAR,CHI,BOS"
Mike Dunham,1972-06-01,10,1997,2007,"NJD,NSH,NYR,ATL,NYI"
Cory Emmerton,1988-06-01,3,2011,2014,DET
Mark Fistric,1986-06-01,7,2008,2015,"DAL,EDM,ANA"
Michal Grosek,1975-06-01,10,1994,2004,"WIN,BUF,CHI,NYR,BOS"
Jeff Hackett,1968-06-01,15,1989,2004,"NYI,SJS,CHI,MTL,BOS,PHI"
Matt Halischuk,1988-06-01,7,2009,2016,"NJD,NSH,WPG"
Gizzy Hart,1902-06-01,6,1927,1933,"DTC,MTL"
Roman Josi,1990-06-01,8,2012,2020,NSH
Hannu Kamppuri,1957-06-01,0,1985,1985,NJD
Vladimir Krutov,1960-06-01,0,1990,1990,VAN
Morris Lukowich,1956-06-01,7,1980,1987,"WIN,BOS,LAK"
Johnny Matz,1891-06-01,0,1925,1925,MTL
Ladislav Nagy,1979-06-01,8,2000,2008,"STL,PHX,DAL,LAK"
Brian O'Neill,1988-06-01,0,2016,2016,NJD
Michel Plasse,1948-06-01,11,1971,1982,"STL,MTL,KCS,PIT,CLR,QUE"
Don Poile,1932-06-01,3,1955,1958,DET
Dan Quinn,1965-06-01,13,1984,1997,"CGY,PIT,VAN,STL,PHI,MNS,OTT,LAK"
Leo Reise,1892-06-01,9,1921,1930,"HAM,NYA,NYR"
Dan Renouf,1994-06-01,0,2017,2017,DET
Dylan Sikura,1995-06-01,2,2018,2020,CHI
Ryan Stewart,1967-06-01,0,1986,1986,WIN
Jaroslav Svoboda,1980-06-01,4,2002,2006,"CAR,DAL"
Ron Talakoski,1962-06-01,1,1987,1988,NYR
Kristian Vesalainen,1999-06-01,0,2019,2019,WPG
Mattias Weinhandl,1980-06-01,4,2003,2007,"NYI,MIN"
Larry Zeidel,1928-06-01,17,1952,1969,"DET,CBH,PHI"
Mike Berger,1967-06-02,1,1988,1989,MNS
Patrik Berglund,1988-06-02,10,2009,2019,"STL,BUF"
Scott Bjugstad,1961-06-02,8,1984,1992,"MNS,PIT,LAK"
Dick Butler,1926-06-02,0,1948,1948,CBH
Russ Courtnall,1965-06-02,15,1984,1999,"TOR,MTL,MNS,DAL,VAN,NYR,LAK"
Adam Creighton,1965-06-02,13,1984,1997,"BUF,CHI,NYI,TBL,STL"
Don Deacon,1913-06-02,3,1937,1940,DET
Gilles Dube,1927-06-02,0,1950,1950,MTL
Robbie Earl,1985-06-02,3,2008,2011,"TOR,MIN"
Jeff Eatough,1963-06-02,0,1982,1982,BUF
Doug Evans,1963-06-02,7,1986,1993,"STL,WIN,PHI"
Jake Evans,1996-06-02,0,2020,2020,MTL
Dan Frawley,1962-06-02,5,1984,1989,"CBH,PIT"
John Gibson,1959-06-02,3,1981,1984,"LAK,TOR,WIN"
Jack Hamilton,1925-06-02,3,1943,1946,TOR
Ott Heller,1910-06-02,14,1932,1946,NYR
Chris Higgins,1983-06-02,12,2004,2016,"MTL,CGY,NYR,FLA,VAN"
Charlie Huddy,1959-06-02,16,1981,1997,"EDM,LAK,BUF,STL"
Randy Johnston,1958-06-02,0,1980,1980,NYI
Josef Marha,1976-06-02,5,1996,2001,"COL,MDA,CHI"
Marty McInnis,1970-06-02,11,1992,2003,"NYI,CGY,MDA,BOS"
Lou Nanne,1941-06-02,10,1968,1978,MNS
Larry Robinson*,1951-06-02,19,1973,1992,"MTL,LAK"
Brett Sutter,1987-06-02,6,2009,2015,"CGY,CAR,MIN"
Don Sylvestri,1961-06-02,0,1985,1985,BOS
Lance Ward,1978-06-02,3,2001,2004,"FLA,MDA"
Jason Akeson,1990-06-03,2,2013,2015,PHI
Barry Beck,1957-06-03,12,1978,1990,"CLR,NYR,LAK"
Doug Berry,1957-06-03,1,1980,1981,CLR
Eddie Burke,1907-06-03,3,1932,1935,"BOS,NYA"
George Carroll,1897-06-03,0,1925,1925,"BOS,MTM"
Frantisek Cernik,1953-06-03,0,1985,1985,DET
Filip Chlapik,1997-06-03,2,2018,2020,OTT
Armand Delmonte,1927-06-03,0,1946,1946,BOS
Len Esau,1968-06-03,3,1992,1995,"TOR,QUE,CGY,EDM"
Brian Ferlin,1992-06-03,0,2015,2015,BOS
Pavel Francouz,1990-06-03,1,2019,2020,COL
Doug Houda,1966-06-03,17,1986,2003,"DET,HAR,LAK,BUF,NYI,MDA"
Walter Jackson,1908-06-03,3,1933,1936,"NYA,BOS"
Rick Jodzio,1954-06-03,0,1978,1978,"CLE,CLR"
Jim McBurney,1933-06-03,0,1953,1953,CBH
Gord McTavish,1954-06-03,1,1979,1980,"STL,WIN"
Sergei Plotnikov,1990-06-03,0,2016,2016,"ARI,PIT"
Nick Ricci,1959-06-03,3,1980,1983,PIT
Nick Seeler,1993-06-03,2,2018,2020,"MIN,CHI"
Don Smith,1888-06-03,0,1920,1920,MTL
Chris Thorburn,1983-06-03,13,2006,2019,"BUF,PIT,ATL,WPG,STL"
Sami Vatanen,1991-06-03,7,2013,2020,"ANA,NJD"
Wally Weir,1954-06-03,5,1980,1985,"QUE,HAR,PIT"
Philippe Audet,1977-06-04,0,1999,1999,DET
Len Barrie,1969-06-04,11,1990,2001,"PHI,FLA,PIT,LAK"
Matt Bartkowski,1988-06-04,8,2011,2019,"BOS,VAN,CGY,MIN"
Francois Beauchemin,1980-06-04,15,2003,2018,"MTL,CBJ,MDA,ANA,TOR,COL"
Laurie Boschman,1960-06-04,13,1980,1993,"TOR,EDM,WIN,NJD,OTT"
Tod Campeau,1923-06-04,5,1944,1949,MTL
Taylor Fedun,1988-06-04,6,2014,2020,"EDM,SJS,VAN,BUF,DAL"
John Gruden,1970-06-04,10,1994,2004,"BOS,OTT,WSH"
Derian Hatcher,1972-06-04,16,1992,2008,"MNS,DAL,DET,PHI"
Jonathan Huberdeau,1993-06-04,7,2013,2020,FLA
Tom Koivisto,1974-06-04,0,2003,2003,STL
Alan Kuntz,1919-06-04,4,1942,1946,NYR
Nick Kypreos,1966-06-04,7,1990,1997,"WSH,HAR,NYR,TOR"
Pierre-Luc Letourneau-Leblond,1985-06-04,5,2009,2014,"NJD,CGY,PIT"
Brandon Manning,1990-06-04,8,2012,2020,"PHI,CHI,EDM"
Jack McVicar,1904-06-04,1,1931,1932,MTM
Alexander Pechurski,1990-06-04,0,2010,2010,PIT
Wayne Primeau,1976-06-04,15,1995,2010,"BUF,TBL,PIT,SJS,BOS,CGY,TOR"
Jeff Toms,1974-06-04,7,1996,2003,"TBL,WSH,NYI,NYR,PIT,FLA"
Ian White,1984-06-04,7,2006,2013,"TOR,CGY,CAR,SJS,DET"
Cam Atkinson,1989-06-05,8,2012,2020,CBJ
Dave Bolland,1986-06-05,9,2007,2016,"CHI,TOR,FLA"
Leo Carbol,1908-06-05,0,1943,1943,CBH
Kale Clague,1998-06-05,0,2020,2020,LAK
Mike Fisher,1980-06-05,18,2000,2018,"OTT,NSH"
Pierre Gagne,1940-06-05,0,1960,1960,BOS
Martin Gelinas,1970-06-05,19,1989,2008,"EDM,QUE,VAN,CAR,CGY,FLA,NSH"
Radko Gudas,1990-06-05,7,2013,2020,"TBL,PHI,WSH"
Andre Hidi,1960-06-05,1,1984,1985,WSH
Chris Holt,1985-06-05,3,2006,2009,"NYR,STL"
Brady Keeper,1996-06-05,0,2019,2019,FLA
Jakub Klepis,1984-06-05,1,2006,2007,WSH
Andre Lacroix,1945-06-05,12,1968,1980,"PHI,CBH,HAR"
Brian Lundberg,1960-06-05,0,1983,1983,PIT
Shawn McCosh,1969-06-05,3,1992,1995,"LAK,NYR"
Greg Nemisz,1990-06-05,1,2011,2012,CGY
Frank Peters,1905-06-05,0,1931,1931,NYR
Bob Probert,1965-06-05,16,1986,2002,"DET,CHI"
Alfie Turcotte,1965-06-05,7,1984,1991,"MTL,WIN,WSH"
Tyler Weiman,1984-06-05,0,2008,2008,COL
Cully Wilson,1892-06-05,7,1920,1927,"TRS,MTL,HAM,CBH"
Greg Zanon,1980-06-05,7,2006,2013,"NSH,MIN,BOS,COL"
Jim Archibald,1961-06-06,2,1985,1987,MNS
Wayne Babych,1958-06-06,8,1979,1987,"STL,PIT,HAR,QUE"
Les Binkley,1934-06-06,4,1968,1972,PIT
Anson Carter,1974-06-06,10,1997,2007,"BOS,WSH,EDM,NYR,LAK,VAN,CAR,CBJ"
Jack Coughlin,1892-06-06,3,1918,1921,"TRA,MTL,QBC,HAM"
Mike Craig,1971-06-06,11,1991,2002,"MNS,DAL,TOR,SJS"
Victor Ejdsell,1995-06-06,0,2018,2018,CHI
Dave Gans,1964-06-06,3,1983,1986,LAK
Ed Giacomin*,1939-06-06,12,1966,1978,"NYR,DET"
Art Giroux,1908-06-06,3,1933,1936,"MTL,BOS,DET"
Aldo Guidolin,1932-06-06,3,1953,1956,NYR
Per Gustafsson,1970-06-06,1,1997,1998,"FLA,OTT,TOR"
Jean Hamel,1952-06-06,11,1973,1984,"STL,DET,QUE,MTL"
Niklas Hjalmarsson,1987-06-06,12,2008,2020,"CHI,ARI"
Dean Hopkins,1959-06-06,9,1980,1989,"LAK,EDM,QUE"
Marshall Johnston,1941-06-06,6,1968,1974,"MNS,CGS"
Caleb Jones,1997-06-06,1,2019,2020,EDM
Bob Kelly,1946-06-06,5,1974,1979,"PIT,STL,CBH"
Marko Kiprusoff,1972-06-06,6,1996,2002,"MTL,NYI"
Gary Laskoski,1959-06-06,1,1983,1984,LAK
Al McDonough,1950-06-06,7,1971,1978,"LAK,PIT,ATF,DET"
Cam Neely*,1965-06-06,12,1984,1996,"VAN,BOS"
Markus Nutivaara,1994-06-06,3,2017,2020,CBJ
Vladimir Ruzicka,1963-06-06,4,1990,1994,"EDM,BOS,OTT"
Ben Sexton,1991-06-06,0,2018,2018,OTT
Niklas Sundstrom,1975-06-06,10,1996,2006,"NYR,SJS,MTL"
Matt Beleskey,1988-06-07,10,2009,2019,"ANA,BOS,NYR"
T.J. Brodie,1990-06-07,9,2011,2020,CGY
Lulu Denis,1928-06-07,1,1950,1951,MTL
Ron Grahame,1950-06-07,3,1978,1981,"BOS,LAK,QUE"
Denis Gurianov,1997-06-07,3,2017,2020,DAL
Hugh Harris,1948-06-07,0,1973,1973,BUF
Milan Jurcina,1983-06-07,6,2006,2012,"BOS,WSH,CBJ,NYI"
Andrei Kovalenko,1970-06-07,8,1993,2001,"QUE,COL,MTL,EDM,CAR,PHI,BOS"
Milan Lucic,1988-06-07,12,2008,2020,"BOS,LAK,EDM,CGY"
Gilles Marotte,1945-06-07,11,1966,1977,"BOS,CBH,LAK,NYR,STL"
Victor Mete,1998-06-07,2,2018,2020,MTL
Mike Modano*,1970-06-07,21,1990,2011,"MNS,DAL,DET"
Terry O'Reilly,1951-06-07,13,1972,1985,BOS
Willi Plett,1955-06-07,12,1976,1988,"ATF,CGY,MNS,BOS"
Leo Reise,1922-06-07,8,1946,1954,"CBH,DET,NYR"
Stephane Richer,1966-06-07,17,1985,2002,"MTL,NJD,TBL,STL,PIT"
Pavel Rosa,1977-06-07,5,1999,2004,LAK
Dan Seguin,1948-06-07,3,1971,1974,"MNS,VAN"
Michael Stone,1990-06-07,8,2012,2020,"PHX,ARI,CGY"
Anthony Beauvillier,1997-06-08,3,2017,2020,NYI
Phil Bourque,1962-06-08,12,1984,1996,"PIT,NYR,OTT"
Doug Brindley,1949-06-08,0,1971,1971,TOR
Mike Cammalleri,1982-06-08,15,2003,2018,"LAK,CGY,MTL,NJD,EDM"
Johnny Gagnon,1905-06-08,9,1931,1940,"MTL,BOS,NYA"
Francois Guay,1968-06-08,0,1990,1990,BUF
Herb Hamel,1904-06-08,0,1931,1931,TOR
Joel Hanley,1991-06-08,4,2016,2020,"MTL,ARI,DAL"
Peter Harrold,1983-06-08,8,2007,2015,"LAK,NJD"
Michael Holmqvist,1979-06-08,3,2004,2007,"MDA,CHI"
Patrick Kaleta,1986-06-08,8,2007,2015,BUF
Quintin Laing,1979-06-08,6,2004,2010,"CHI,WSH"
Spencer Martin,1995-06-08,0,2017,2017,COL
Bryan McCabe,1975-06-08,15,1996,2011,"NYI,VAN,CHI,TOR,FLA,NYR"
Grant McNeill,1983-06-08,0,2004,2004,FLA
Bryan Muir,1973-06-08,11,1996,2007,"EDM,CHI,NJD,TBL,COL,LAK,WSH"
George O'Grady,1891-06-08,0,1918,1918,MTW
Jim Pavese,1962-06-08,7,1982,1989,"STL,DET,NYR,HAR"
Vaclav Pletka,1979-06-08,0,2002,2002,PHI
Tucker Poolman,1993-06-08,2,2018,2020,WPG
Rob Ray,1968-06-08,14,1990,2004,"BUF,OTT"
Jim Roberts,1956-06-08,2,1977,1979,MNS
Andrej Sekera,1986-06-08,13,2007,2020,"BUF,CAR,LAK,EDM,DAL"
Conor Sheary,1992-06-08,4,2016,2020,"PIT,BUF"
Thomas Steen,1960-06-08,13,1982,1995,WIN
Jake Bean,1998-06-09,0,2019,2019,CAR
Jason Demers,1988-06-09,10,2010,2020,"SJS,DAL,FLA,ARI"
Michael Dipietro,1999-06-09,1,2019,2020,VAN
Barrett Hayton,2000-06-09,0,2020,2020,ARI
Zach Hyman,1992-06-09,4,2016,2020,TOR
Dan Labraaten,1951-06-09,3,1979,1982,"DET,CGY"
Patrick Leahy,1979-06-09,3,2004,2007,"BOS,NSH"
Grant Marshall,1973-06-09,11,1995,2006,"DAL,CBJ,NJD"
Don McSween,1964-06-09,8,1988,1996,"BUF,MDA"
Ryan O'Marra,1987-06-09,2,2010,2012,"EDM,ANA"
John Paddock,1954-06-09,7,1976,1983,"WSH,PHI,QUE"
Andre Racicot,1969-06-09,4,1990,1994,MTL
Russell Romaniuk,1970-06-09,4,1992,1996,"WIN,PHI"
Kyle Rossiter,1980-06-09,2,2002,2004,"FLA,ATL"
Trevor Sim,1970-06-09,0,1990,1990,EDM
Brian Tutt,1962-06-09,0,1990,1990,WSH
Jeff Zatkoff,1987-06-09,3,2014,2017,"PIT,LAK"
Thomas Ziegler,1978-06-09,0,2001,2001,TBL
Billy Bell,1891-06-10,6,1918,1924,"MTL,MTW,OTS"
Kieffer Bellows,1998-06-10,0,2020,2020,NYI
Brian Benning,1966-06-10,10,1985,1995,"STL,LAK,PHI,EDM,FLA"
Lionel Bouvrette,1914-06-10,0,1943,1943,NYR
Murray Davison,1938-06-10,0,1966,1966,BOS
Tom Dewar,1913-06-10,0,1944,1944,NYR
Mike Eaves,1956-06-10,6,1979,1985,"MNS,CGY"
Leo Gravelle,1925-06-10,4,1947,1951,"MTL,DET"
Chad Johnson,1986-06-10,9,2010,2019,"NYR,PHX,BOS,NYI,BUF,CGY,ANA,STL"
Ian MacIntosh,1927-06-10,0,1953,1953,NYR
Greg Mauldin,1982-06-10,7,2004,2011,"CBJ,NYI,COL"
Dennis O'Brien,1949-06-10,9,1971,1980,"MNS,BOS,CLE,CLR"
Jiri Sekac,1992-06-10,1,2015,2016,"ANA,MTL,ARI,CHI"
Timofei Shishkanov,1983-06-10,2,2004,2006,"NSH,STL"
Rob Skrlac,1976-06-10,0,2004,2004,NJD
Brent Sutter,1962-06-10,17,1981,1998,"NYI,CHI"
Daniel Tkaczuk,1979-06-10,0,2001,2001,CGY
Kurt Walker,1954-06-10,2,1976,1978,TOR
Mika Alatalo,1971-06-11,1,2000,2001,PHX
Keith Aulie,1989-06-11,4,2011,2015,"TOR,TBL,EDM"
Noah Clarke,1979-06-11,4,2004,2008,"LAK,NJD"
Herb Dickenson,1931-06-11,1,1952,1953,NYR
Fedor Fedorov,1981-06-11,3,2003,2006,"VAN,NYR"
Bryan Fogarty,1969-06-11,5,1990,1995,"QUE,PIT,MTL"
Frank Fredrickson*,1895-06-11,4,1927,1931,"BOS,DTC,PTP,DTF"
Hec Kilrea,1907-06-11,14,1926,1940,"OTS,DTF,TOR,DET"
Serge Lajeunesse,1950-06-11,4,1971,1975,"DET,PHI"
Ted Lanyon,1939-06-11,0,1968,1968,PIT
Derek MacKenzie,1981-06-11,17,2002,2019,"ATL,CBJ,FLA"
Jack Marks,1885-06-11,2,1918,1920,"MTW,TRA,QBC"
Scott Mellanby,1966-06-11,21,1986,2007,"PHI,EDM,FLA,STL,ATL"
Jim Mikol,1938-06-11,2,1963,1965,"TOR,NYR"
Kip Miller,1969-06-11,13,1991,2004,"QUE,MNS,SJS,NYI,CHI,PIT,MDA,WSH"
