player,birthday,yrs,from,to,month,day,country
David Lee,1958-07-21,13,1981,1994,7,21,USA
Edward J.,1884-12-25,0,1914,1914,12,25,USA
James Harding,1862-10-31,5,1883,1888,10,31,USA
James Duffy,1982-10-21,4,2012,2016,10,21,CAN
Joseph Lee,1946-07-04,3,1974,1977,7,4,USA
Kenneth Joseph,1946-06-15,15,1965,1980,6,15,USA
Rickey Nelson Henley,1958-12-25,24,1979,2003,12,25,USA
Rodney Wood,1971-03-11,4,1994,1998,3,11,USA
Steven Curtis,1952-11-18,11,1977,1988,11,18,USA
Charles Robert,1939-04-30,6,1961,1967,4,30,USA
Benjamin John,1981-02-04,2,2004,2006,2,4,USA
Claude Raymond,1889-04-13,9,1911,1920,4,13,USA
Donald William,1913-07-14,1,1945,1946,7,14,USA
Edward,1885-06-20,0,1910,1910,6,20,USA
Elrod Jerome,1940-12-22,11,1968,1979,12,22,V.I.
George Andrew,1949-10-18,17,1971,1988,10,18,USA
Harvey,1897-11-09,11,1923,1934,11,9,USA
John Charles,1875-04-09,1,1902,1903,4,9,USA
Kyle Christian,1989-12-07,5,2014,2019,12,7,USA
Liam Johnson,1989-02-10,8,2011,2019,2,10,Australia
Mark Allan,1974-06-23,9,2002,2011,6,23,USA
Timothy Green,1891-01-31,10,1911,1921,1,31,USA
David Lee,1961-12-18,3,1986,1989,12,18,USA
Edward Siegfried,1855-09-15,NA,NA,NA,9,15,USA
Emery J.,1857-10-07,1,1884,1885,10,7,USA
Lafayette Marion,1899-06-07,0,1919,1919,6,7,USA
Thomas Anthony,1957-12-21,13,1982,1995,12,21,USA
Robert Clifton,1973-01-30,0,1998,1998,1,30,USA
Gail Curtice,1928-10-15,0,1954,1954,10,15,USA
Weldon,1880-10-25,4,1903,1907,10,25,USA
Walter John,1894-12-20,10,1921,1931,12,20,USA
Brad Martin,1980-02-07,4,2004,2008,2,7,USA
George,1907-10-28,8,1937,1945,10,28,USA
Lester Baker,1893-12-12,0,1913,1913,12,12,USA
Michael Alan,1961-12-11,9,1987,1996,12,11,USA
Ernest Herman,1887-12-28,1,1914,1915,12,28,USA
Phillip Winston,1946-04-10,4,1969,1973,4,10,USA
Randall Philip,1965-12-16,0,1990,1990,12,16,USA
Richard Lee,1948-01-11,0,1973,1973,1,11,USA
Sean Michael,1981-04-23,8,2005,2013,4,23,USA
Robert Edward,1938-12-24,2,1957,1959,12,24,USA
Frank Wilde,1899-05-08,0,1924,1924,5,8,USA
Olaf,1888-04-26,6,1911,1917,4,26,Denmark
Oscar Eduardo,1974-01-28,5,1997,2002,1,28,Venezuela
Thomas David,1913-02-20,13,1937,1950,2,20,USA
William Rodman,1927-10-15,17,1952,1969,10,15,USA
William Francis,1942-02-15,0,1966,1966,2,15,USA
Floyd Bluford,1968-10-07,7,1992,1999,10,7,USA
Richard Douglas,1963-12-10,10,1991,2001,12,10,USA
Frank John,1902-05-12,9,1921,1930,5,12,USA
Dwayne Allen,1962-02-16,11,1984,1995,2,16,USA
Earl Clifford,1917-06-10,1,1944,1945,6,10,USA
George Washington,1863-08-10,0,1893,1893,8,10,USA
James Francis,1910-06-26,3,1936,1939,6,26,USA
John Michael,1863-09-02,6,1884,1890,9,2,USA
John Park,1889-12-26,8,1910,1918,12,26,USA
Ronald Baxter,1936-08-07,3,1961,1964,8,7,USA
Frederick Marshall,1895-07-19,1,1922,1923,7,19,USA
Roy Kniklebine,1911-07-29,11,1933,1944,7,29,USA
Philip Frank,1901-10-13,0,1935,1935,10,13,USA
Charles Floyd,1959-03-11,0,1986,1986,3,11,USA
Clayton Allen,1979-08-31,7,2005,2012,8,31,USA
Matthew Davis,1978-08-18,0,2004,2004,8,18,USA
Drew Daniel,1980-02-13,1,2002,2003,2,13,USA
Patrick George,1968-11-13,13,1991,2004,11,13,USA
William Lewis,1945-09-25,0,1966,1966,9,25,USA
Earn Albert,1887-01-30,2,1913,1915,1,30,USA
Frederick,1887-03-04,0,1915,1915,3,4,USA
Raymond Ernest,1929-12-15,16,1950,1966,12,15,USA
Ronald Samuel,1938-01-16,8,1963,1971,1,16,USA
Felix,1975-06-18,9,1996,2005,6,18,D.R.
Gilbert,1965-10-26,10,1991,2001,10,26,USA
Guillermo,1991-01-31,3,2016,2019,1,31,Cuba
Ubaldo Jose,1956-05-04,0,1987,1987,5,4,Venezuela
Wilson,1972-03-30,2,1995,1997,3,30,D.R.
Jimmy Matthew,1993-09-09,0,2019,2019,9,9,USA
Matthew Tyler,1970-04-01,10,1999,2009,4,1,USA
Albert Bartel,1899-03-28,1,1923,1924,3,28,USA
Arthur,1871-05-11,1,1896,1897,5,11,USA
Floyd Caves,1903-06-26,19,1926,1945,6,26,USA
William Jennings Bryan,1909-07-07,16,1931,1947,7,7,USA
Chad Bruce,1977-09-10,5,1999,2004,9,10,USA
Dustin Michael,1972-12-21,11,1995,2006,12,21,USA
Eugene Victor,1920-05-11,10,1943,1953,5,11,USA
Jeremy Ryan,1984-01-30,7,2005,2012,1,30,USA
Michael,1995-01-17,1,2018,2019,1,17,USA
Angel Remigio,1947-10-01,7,1967,1974,10,1,Venezuela
Adrian R.,1975-03-25,3,2001,2004,3,25,Cuba
Alexander,1977-05-28,1,2000,2001,5,28,P.R.
Anderson Mejia,1982-10-30,5,2005,2010,10,30,D.R.
Ariel,1992-03-02,0,2017,2017,3,2,D.R.
Carlos Alberto,1967-05-24,10,1990,2000,5,24,Venezuela
Carlos Eduardo,1975-12-12,1,1999,2000,12,12,Venezuela
Carlos Enrique,1980-04-22,3,2001,2004,4,22,Venezuela
Cesar Dario,1966-09-28,1,1992,1993,9,28,D.R.
Cesar Augusto,1990-05-23,6,2013,2019,5,23,Venezuela
Salvador Jose,1916-01-03,1,1942,1943,1,3,Cuba
David Jose,1985-05-13,10,2009,2019,5,13,USA
Darwinzon David,1996-12-17,0,2019,2019,12,17,Venezuela
Diory,1984-04-08,2,2009,2011,4,8,D.R.
Elieser Alexis,1995-05-03,1,2018,2019,5,3,Venezuela
Enzo Octavio,1949-02-12,7,1971,1978,2,12,Venezuela
Enrique J.,1991-08-24,5,2014,2019,8,24,P.R.
Gregorio Evelio,1930-12-24,1,1956,1957,12,24,Cuba
Fernando,1971-06-16,0,1997,1997,6,16,D.R.
Felix Abraham,1986-04-08,14,2005,2019,4,8,Venezuela
Fernando,1984-07-31,0,2008,2008,7,31,USA
Gorkys Gustavo,1987-09-07,7,2012,2019,9,7,Venezuela
Jacinto,1940-09-11,8,1965,1973,9,11,Cuba
Jesus Rafael,1945-01-08,0,1974,1974,1,8,P.R.
Jeremy Stuart,1966-07-06,4,1991,1995,7,6,USA
Jose Antonio,1969-07-14,15,1991,2006,7,14,P.R.
Jonathan,1996-07-06,0,2019,2019,7,6,USA
Keith,1953-10-20,16,1974,1990,10,20,USA
Leonardo Jesus,1959-11-06,4,1982,1986,11,6,Venezuela
Eisler Livan,1975-02-20,16,1996,2012,2,20,Cuba
Luis Armando,1984-06-26,5,2007,2012,6,26,Venezuela
Manuel Antonio,1961-05-07,3,1986,1989,5,7,D.R.
Marco Antonio,1992-09-06,3,2016,2019,9,6,D.R.
Michel,1978-08-12,6,2003,2009,8,12,Cuba
Orlando P.,1965-10-11,9,1998,2007,10,11,Cuba
Oscar Eduardo,1993-07-09,1,2015,2016,7,9,Venezuela
Pedro Julio Montas,1959-04-04,3,1979,1982,4,4,D.R.
Pedro Michel,1989-04-12,2,2012,2014,4,12,Venezuela
Ramon,1940-08-31,10,1967,1977,8,31,P.R.
Ramon Jose,1976-05-20,14,1999,2013,5,20,Venezuela
Roberto Manuel,1964-11-11,16,1991,2007,11,11,P.R.
Rudolph Albert,1931-12-10,1,1960,1961,12,10,D.R.
Rodolfo,1951-10-18,0,1972,1972,10,18,Mexico
Runelvys Antonio,1978-04-27,6,2002,2008,4,27,D.R.
Teoscar Jose,1992-10-15,3,2016,2019,10,15,D.R.
Tobias Rafael,1958-11-30,0,1984,1984,11,30,Venezuela
Guillermo,1954-11-14,12,1977,1989,11,14,P.R.
Francis Xavier,1965-08-16,9,1989,1998,8,16,USA
Yoel Alejandro,1980-04-15,0,2007,2007,4,15,Venezuela
Kenneth David,1985-09-04,2,2010,2012,9,4,USA
Harry Francis,1978-09-11,0,2001,2001,9,11,USA
Larry Darnell,1953-11-03,14,1974,1988,11,3,USA
Thomas H.,1866-11-04,0,1897,1897,11,4,USA
Alexander Jose,1979-11-05,1,2002,2003,11,5,Venezuela
Procopio,1926-07-26,0,1951,1951,7,26,Mexico
Joseph,1865-03-04,3,1887,1890,3,4,USA
Daniel Ray,1984-10-21,3,2008,2011,10,21,USA
Dilson Jose,1994-03-03,4,2014,2018,3,3,Colombia
Elian,1985-02-01,3,2012,2015,2,1,D.R.
Jose Concepcion,1942-04-08,3,1967,1970,4,8,Venezuela
Jose Ramon,1972-08-30,1,1995,1996,8,30,D.R.
Jonathan Alejandro,1984-11-03,7,2008,2015,11,3,Venezuela
Kelvin De Jesus,1989-12-31,8,2011,2019,12,31,D.R.
Ramon,1897-12-19,1,1925,1926,12,19,Cuba
David Odubel,1991-12-29,4,2015,2019,12,29,Venezuela
Juan Francisco,1934-06-16,3,1958,1961,6,16,Cuba
Ronald Jose,1995-05-03,0,2017,2017,5,3,Venezuela
Rosell Amado,1992-10-16,1,2018,2019,10,16,D.R.
Walter William,1889-02-19,0,1911,1911,2,19,USA
Yoslan,1981-04-28,6,2008,2014,4,28,Cuba
Arthur L.,1906-03-10,18,1929,1947,3,10,USA
William Francis,1893-10-31,0,1915,1915,10,31,USA
Herbert Lee,1891-07-22,0,1912,1912,7,22,USA
Silas Clarke,1880-03-04,5,1899,1904,3,4,USA
Thomas Edward,1929-09-12,0,1954,1954,9,12,USA
William Troy,1930-12-20,0,1956,1956,12,20,USA
Christopher Ryan,1987-11-24,7,2012,2019,11,24,USA
Edward Martin,1946-08-27,11,1967,1978,8,27,USA
Frank Joseph,1984-05-30,6,2010,2016,5,30,USA
Leroy George,1906-02-27,3,1932,1935,2,27,USA
Martin John,1893-01-10,0,1918,1918,1,10,USA
John Ellett,1938-03-31,4,1962,1966,3,31,USA
Richard Franklin,1936-11-03,0,1962,1962,11,3,USA
Thomas Mitchell,1956-04-04,12,1979,1991,4,4,USA
Earl Walter,1932-05-21,0,1956,1956,5,21,USA
Frank,1877-12-13,0,1905,1905,12,13,USA
Norman Michael,1939-10-09,10,1961,1971,10,9,USA
Orel Leonard,1958-09-16,17,1983,2000,9,16,USA
Willard McKee,1910-05-28,2,1938,1940,5,28,USA
Neal Charles,1931-11-22,0,1952,1952,11,22,USA
Stephen Allan,1945-02-26,0,1964,1964,2,26,USA
Charles Lincoln,1885-07-09,12,1908,1920,7,9,USA
Dorrel Norman Elvert,1931-11-09,7,1956,1963,11,9,USA
Joseph Thomas,1959-02-15,10,1984,1994,2,15,USA
David James,1993-07-10,1,2018,2019,7,10,USA
George Edward,1895-01-18,0,1916,1916,1,18,USA
Keith Alexander,1989-03-15,1,2015,2016,3,15,USA
Michael Steven,1978-03-05,7,2003,2010,3,5,USA
Otto C.,1878-10-10,13,1902,1915,10,10,Switzerland
Thomas Joseph,1875-08-15,0,1892,1892,8,15,USA
John Graves,1983-09-14,4,2009,2013,9,14,USA
Lawrence,1878-06-09,0,1901,1901,6,9,USA
Christopher L.,1988-04-10,3,2014,2017,4,10,USA
John Edward,1922-05-12,9,1945,1954,5,12,USA
August Julius,1885-11-21,0,1906,1906,11,21,USA
Eric Paul,1963-09-25,1,1989,1990,9,25,USA
George A.,1849-06-20,5,1871,1876,6,20,Germany
Edward Burlton,1909-05-07,13,1935,1948,5,7,USA
John Aloysius,1896-04-29,12,1920,1932,4,29,USA
Joseph William,1900-09-02,15,1930,1945,9,2,USA
Charles Jacob,1870-06-06,0,1895,1895,6,6,USA
Gregory George,1952-01-02,0,1973,1973,1,2,USA
Marion Edward,1874-07-15,9,1898,1907,7,15,USA
Jason Alias,1989-08-09,9,2010,2019,8,9,USA
Jack E.,1942-07-27,8,1964,1972,7,27,USA
Philip Farrell,1969-05-01,8,1993,2001,5,1,USA
James Gregory,1964-09-13,5,1989,1994,9,13,USA
John Denison,1864-12-02,0,1884,1884,12,2,USA
James Kerr,1944-09-10,0,1967,1967,9,10,USA
Bryan David,1963-10-13,4,1991,1995,10,13,USA
Edward Arthur,1872-08-18,0,1901,1901,8,18,USA
John William,1881-11-03,0,1904,1904,11,3,USA
James Robert,1920-10-22,2,1942,1944,10,22,USA
Kevin John,1956-02-25,10,1981,1991,2,25,USA
Michael Francis,1871-12-25,0,1899,1899,12,25,USA
Charles Taylor,1876-05-04,11,1897,1908,5,4,USA
Jesse Owens,1939-02-18,1,1965,1966,2,18,USA
David James,1892-05-19,4,1915,1919,5,19,USA
James Lucius,1937-05-10,12,1962,1974,5,10,USA
Aaron Michael,1989-10-02,6,2013,2019,10,2,USA
Brandon Ryan,1985-09-14,4,2010,2014,9,14,USA
Clarence Walter,1927-02-15,0,1956,1956,2,15,USA
James Edward,1940-05-18,6,1964,1970,5,18,USA
William Joseph,1933-04-07,4,1959,1963,4,7,USA
John Austin,1989-08-31,4,2015,2019,8,31,USA
Jordan McKinley,1996-09-06,1,2018,2019,9,6,USA
Nathan Woodhull,1845-04-19,5,1872,1877,4,19,USA
Richard Jose,1975-06-28,8,1997,2005,6,28,Venezuela
Joseph Carl,1979-05-01,0,2004,2004,5,1,USA
Kyle Harris,1990-04-20,2,2017,2019,4,20,USA
Walter Kirby,1915-04-08,13,1937,1950,4,8,USA
Mahlon Jesse,1901-08-16,0,1922,1922,8,16,USA
William Travis,1924-04-27,0,1949,1949,4,27,USA
William Edward,1859-12-04,2,1888,1890,12,4,USA
Robert Stone,1886-09-23,3,1909,1912,9,23,USA
Robert Leigh,1970-08-18,10,1995,2005,8,18,USA
Dennis Dean,1939-08-04,6,1966,1972,8,4,USA
Thomas Edward,1888-03-18,1,1909,1910,3,18,USA
Irving Clinton,1882-04-26,3,1906,1909,4,26,USA
Kevin Wayne,1967-01-22,0,1993,1993,1,22,USA
Mark Douglas,1963-07-09,0,1989,1989,7,9,USA
Michael Franklin,1909-05-27,16,1930,1946,5,27,USA
Richard,1851-07-24,9,1871,1880,7,24,United Kingdom
Andrew Aird,1897-11-21,12,1922,1934,11,21,USA
Charles Edwin,1898-12-01,1,1919,1920,12,1,USA
Edward Thomas,1873-10-26,0,1901,1901,10,26,USA
Hugh Jenkin,1887-10-24,5,1913,1918,10,24,USA
Teodoro Valenzuela,1957-11-09,9,1985,1994,11,9,Mexico
Walter Frank,1909-02-28,5,1931,1936,2,28,USA
George Albert,1878-09-06,0,1902,1902,9,6,USA
Oral Clyde,1907-04-07,9,1931,1940,4,7,USA
Palmer Marion,1884-12-23,0,1913,1913,12,23,USA
Trevor Sean,1990-12-15,2,2017,2019,12,15,USA
Thomas Eugene,1942-03-10,6,1969,1975,3,10,USA
Erik Kristian,1972-12-25,3,1999,2002,12,25,USA
Aaron Walter,1982-03-21,12,2005,2017,3,21,USA
Belden L.,1864-08-24,0,1890,1890,8,24,USA
William Cicero,1874-08-02,3,1896,1899,8,2,USA
William Robert,1978-04-03,3,2002,2005,4,3,USA
Carmen Proctor,1895-10-01,15,1915,1930,10,1,USA
David Burnham,1937-11-11,0,1957,1957,11,11,USA
Donald Earl,1960-11-12,9,1983,1992,11,12,USA
Charles Joseph,1934-10-01,7,1961,1968,10,1,USA
Edward Garfield,1879-06-17,0,1903,1903,6,17,USA
Frank Walter,1920-07-13,7,1946,1953,7,13,USA
Homer Hiller Henry,1879-10-10,3,1905,1908,10,10,USA
Harvey Max,1893-05-12,1,1920,1921,5,12,USA
John Frederick,1943-04-08,15,1965,1980,4,8,CAN
Shawn Patrick,1964-08-21,6,1987,1993,8,21,USA
Shea Matthew,1975-07-27,6,2001,2007,7,27,USA
Garry Alton,1946-11-03,0,1969,1969,11,3,USA
Glenallen,1965-03-22,12,1989,2001,3,22,USA
Herbert Lee,1891-08-19,0,1915,1915,8,19,USA
Herman Alexander,1945-10-12,1,1969,1970,10,12,USA
Hunter Benjamin,1879-06-21,2,1903,1905,6,21,USA
Hugh Ellis,1879-07-21,1,1903,1904,7,21,USA
Malcolm David,1901-07-23,4,1924,1928,7,23,USA
Samuel Beauman,1994-02-21,0,2019,2019,2,21,USA
Jesse Terrill,1907-01-20,2,1935,1937,1,20,USA
Jeremy Dee,1977-08-08,1,2002,2003,8,8,USA
Kenneth Wade,1965-12-14,13,1988,2001,12,14,USA
Koyie Dolan,1979-03-09,11,2003,2014,3,9,USA
Marc Kevin,1952-02-18,13,1973,1986,2,18,USA
Darius Dutton,1927-09-14,7,1955,1962,9,14,USA
John Eric,1966-04-27,2,1992,1994,4,27,USA
Milton Giles,1965-08-22,3,1991,1994,8,22,USA
Thomas Brad,1963-01-04,NA,NA,NA,1,4,USA
Oliver Clinton,1909-10-16,0,1939,1939,10,16,USA
John Preston,1882-10-12,NA,NA,NA,10,12,USA
Clifford Joseph,1893-01-20,0,1917,1917,1,20,USA
Richard Joseph,1980-03-11,14,2005,2019,3,11,USA
Shawn Richard,1981-04-28,8,2004,2012,4,28,CAN
Steven Douglas,1985-03-14,2,2010,2012,3,14,USA
David Taylor,1989-03-12,1,2014,2015,3,12,USA
Timothy,1990-02-10,1,2018,2019,2,10,USA
William Edward,1887-02-22,0,1914,1914,2,22,USA
Charles T.,1864-03-23,1,1883,1884,3,23,USA
John David,1950-09-15,3,1972,1975,9,15,USA
Howard James,1964-01-03,0,1990,1990,1,3,USA
John Herby,1878-09-22,1,1905,1906,9,22,USA
Avitus Bernard,1917-04-02,NA,NA,NA,4,2,USA
Andrew Jay,1974-05-15,6,1998,2004,5,15,USA
William White,1883-04-04,15,1905,1920,4,4,USA
Brett,1974-07-21,2,1999,2001,7,21,USA
Harry Sibley,1878-08-04,0,1907,1907,8,4,USA
Michael David,1982-10-05,1,2008,2009,10,5,USA
Samuel Russell,1953-07-11,0,1977,1977,7,11,USA
Henry Fred,1867-09-29,0,1895,1895,9,29,USA
Paul Aloysius,1855-03-01,19,1872,1891,3,1,USA
Daniel Gordon,1905-04-03,0,1934,1934,4,3,USA
Dalier,1986-02-10,1,2015,2016,2,10,Cuba
William Louis,1889-04-27,0,1910,1910,4,27,USA
Paul Edwin,1925-08-31,0,1951,1951,8,31,USA
Alexander Omar,1982-10-31,4,2008,2012,10,31,USA
George Addison,1959-10-23,1,1982,1983,10,23,USA
Eric Scott,1977-08-05,11,2002,2013,8,5,USA
Jerry Dean,1945-04-09,3,1964,1967,4,9,USA
James Paul,1904-05-09,0,1928,1928,5,9,USA
Charles Edward,1934-05-03,10,1961,1971,5,3,USA
John Robert,1876-06-19,0,1901,1901,6,19,USA
Richard Michael,1947-05-22,8,1971,1979,5,22,USA
Thomas Lee,1964-06-18,2,1987,1989,6,18,USA
Herbert August,1939-05-09,0,1966,1966,5,9,USA
Yoshihisa,1984-03-08,1,2018,2019,3,8,Japan
Jason Michael,1982-02-20,2,2006,2008,2,20,USA
Gene Taylor,1948-12-11,4,1971,1975,12,11,USA
Larry Eugene,1947-05-05,14,1968,1982,5,5,USA
Harley Parnell,1926-11-06,0,1951,1951,11,6,USA
William Clyde,1916-07-31,11,1942,1953,7,31,USA
James Franklin,1911-06-28,0,1938,1938,6,28,USA
Sterling Alex,1971-04-29,12,1992,2004,4,29,USA
Bruce Smith,1897-03-14,0,1917,1917,3,14,USA
Lloyd Eldon,1924-02-21,1,1949,1950,2,21,USA
Roy Wesley,1884-06-22,0,1907,1907,6,22,USA
Keston Wee Hing Natsuo,1996-08-02,0,2019,2019,8,2,USA
Myrill Oliver,1908-03-09,14,1931,1945,3,9,USA
Donald Albert,1928-02-05,10,1954,1964,2,5,USA
Edward Russell,1934-06-27,2,1961,1963,6,27,USA
Glen Frederick,1936-04-24,7,1957,1964,4,24,USA
William Lee,1893-05-07,3,1913,1916,5,7,USA
John Douglas,1955-11-11,0,1981,1981,11,11,USA
Richard Carleton,1888-10-26,10,1908,1918,10,26,USA
Clell Lavern,1951-08-17,7,1975,1982,8,17,USA
Luke Anthony,1983-09-15,9,2007,2016,9,15,USA
Harry Keller,1887-01-09,7,1908,1915,1,9,USA
Charles Marion,1950-12-15,0,1975,1975,12,15,USA
Edward Francis,1899-03-27,4,1920,1924,3,27,USA
George Edward,1908-04-07,1,1934,1935,4,7,USA
Oris Leon,1909-09-29,7,1938,1945,9,29,USA
Dennis Lee,1970-04-02,12,1993,2005,4,2,USA
Urban John,1905-09-26,8,1925,1933,9,26,USA
Melvin Anthony,1923-06-24,3,1951,1954,6,24,USA
Edward Burton,1917-05-25,0,1942,1942,5,25,USA
Ed Oliver,1958-04-19,0,1984,1984,4,19,USA
Gilbert Raymond,1924-04-04,20,1943,1963,4,4,USA
Harold Morris,1944-04-03,0,1971,1971,4,3,USA
Kevin Jon,1973-06-24,0,2000,2000,6,24,USA
Ronald Wray,1949-06-22,11,1973,1984,6,22,USA
Clarence Clemet,1893-07-06,2,1920,1922,7,6,USA
Trey Alan,1978-06-29,1,2002,2003,6,29,USA
Elmer Ralph,1915-02-10,9,1939,1948,2,10,USA
Paul Joseph Denis,1960-04-14,0,1980,1980,4,14,CAN
Aloysius Joseph,1917-11-03,0,1946,1946,11,3,USA
William Frederick,1932-05-17,14,1952,1966,5,17,USA
Arthur William,1882-09-30,3,1905,1908,9,30,USA
Joseph Walter,1936-11-12,14,1963,1977,11,12,USA
Nicholas Mackie,1997-05-13,0,2019,2019,5,13,USA
Frank Joseph,1917-08-11,7,1940,1947,8,11,USA
Jerome O'Bryan,1990-03-05,3,2012,2015,3,5,USA
Frederick Chamberlain,1865-01-21,NA,NA,NA,1,21,USA
John Bernard,1881-11-10,2,1906,1908,11,10,USA
James Urban,1982-12-30,5,2006,2011,12,30,USA
Chester Cornelius,1891-05-08,4,1911,1915,5,8,USA
William Leopold,1870-11-08,6,1895,1901,11,8,USA
Stewart Edward,1913-01-27,2,1944,1946,1,27,USA
William Joseph,1918-03-03,0,1939,1939,3,3,USA
Daniel John,1880-03-02,8,1903,1911,3,2,USA
Clarence Casper,1904-01-28,0,1929,1929,1,28,USA
Glenn Edward,1958-07-07,9,1980,1989,7,7,USA
Guy Alan,1956-07-09,9,1979,1988,7,9,USA
Harry Camp,1875-01-05,3,1904,1907,1,5,USA
Jamie Richard,1984-08-20,2,2009,2011,8,20,USA
Jesse H.,1877-03-17,0,1897,1897,3,17,USA
Jeffrey Robert,1993-01-08,3,2016,2019,1,8,USA
John Edward,1943-10-31,1,1964,1965,10,31,USA
Lawrence Charles,1878-07-18,0,1901,1901,7,18,USA
Raymond Lamont,1917-06-14,0,1942,1942,6,14,USA
Edward Adolph,1893-11-30,0,1915,1915,11,30,USA
Trevor William,1967-10-13,17,1993,2010,10,13,USA
John William,1863-05-25,1,1885,1886,5,25,USA
Jarrett Lee,1983-06-18,1,2009,2010,6,18,USA
James Micah,1980-03-01,2,2008,2010,3,1,USA
Robert George,1925-10-05,8,1949,1957,10,5,USA
Fred,1894-06-10,9,1919,1928,6,10,USA
Arthur Frederick,1882-10-29,13,1903,1916,10,29,USA
Robert Edward,1862-04-06,0,1882,1882,4,6,USA
George Augustine,1885-09-25,0,1914,1914,9,25,USA
Harry Sweet,1876-11-01,0,1901,1901,11,1,USA
Kenneth Timothy,1902-10-09,3,1921,1924,10,9,USA
Martin F.,1869-10-25,1,1894,1895,10,25,United Kingdom
James Francis,1906-03-21,12,1925,1937,3,21,USA
William Henry,1884-09-14,1,1911,1912,9,14,USA
Wilbert George,1913-04-21,0,1934,1934,4,21,USA
William Johnston,1881-09-11,3,1905,1908,9,11,USA
Carter Bradley,1889-03-26,8,1911,1919,3,26,USA
George C.,1869-03-17,6,1895,1901,3,17,USA
Elon Chester,1903-11-02,15,1929,1944,11,2,USA
Robert Clinton,1921-04-05,4,1948,1952,4,5,USA
Calvin Grey,1927-10-24,2,1952,1954,10,24,USA
William Henry,1903-11-27,0,1927,1927,11,27,USA
Edward Hicks,1885-01-31,2,1910,1912,1,31,USA
Christopher Allen,1965-03-20,9,1989,1998,3,20,USA
John Bryan,1987-11-19,7,2012,2019,11,19,USA
Aaron Keith,1973-01-09,9,1996,2005,1,9,USA
William Henry,1855-03-14,12,1876,1888,3,14,USA
Ray Arthur,1970-09-25,6,1994,2000,9,25,USA
Walter Albert,1913-11-30,4,1944,1948,11,30,USA
James Marbury,1910-07-17,0,1935,1935,7,17,USA
Kenneth Edward,1918-08-23,8,1945,1953,8,23,USA
William Paul,1889-09-07,1,1913,1914,9,7,USA
Joseph Francis,1913-06-04,2,1934,1936,6,4,USA
Jonathan Blake,1993-06-09,3,2016,2019,6,9,USA
David Allen,1969-02-05,0,1998,1998,2,5,USA
Frederick William,1952-05-29,8,1972,1980,5,29,USA
James,1850-07-14,12,1872,1884,7,14,USA
John Stephen,1987-10-19,0,2014,2014,10,19,USA
Walter Henry,1892-12-25,11,1914,1925,12,25,USA
Alfred Willis,1952-08-16,10,1977,1987,8,16,USA
William James,1896-11-22,0,1920,1920,11,22,USA
William David,1915-06-04,0,1939,1939,6,4,USA
Derek Lane,1986-10-09,10,2009,2019,10,9,USA
Robert Clyde,1903-10-12,2,1932,1934,10,12,USA
Gregory Scott,1985-11-20,9,2010,2019,11,20,USA
Mario Eduardo Lemus,1988-08-26,0,2014,2014,8,26,USA
Howard Arthur,1903-01-06,3,1926,1929,1,6,USA
Todd Mathew,1973-04-20,11,1995,2006,4,20,USA
Edward Edgar,1899-07-23,6,1928,1934,7,23,USA
Gary Charles,1954-08-11,0,1979,1979,8,11,USA
Albert Wayne,1908-02-25,11,1935,1946,2,25,USA
John Burnette,1895-12-26,6,1922,1928,12,26,USA
James Wear,1867-02-08,9,1889,1898,2,8,USA
Carl Theodore,1896-07-09,1,1921,1922,7,9,USA
David Michael,1966-05-25,12,1990,2002,5,25,USA
Damon Jamall,1974-06-12,8,1998,2006,6,12,USA
John Samuel,1853-01-17,3,1872,1875,1,17,USA
Jessie Edward,1970-01-27,0,1992,1992,1,27,USA
John Henry,1870-05-03,0,1892,1892,5,3,USA
Matthew Thomas,1980-01-15,14,2004,2018,1,15,USA
Michael Travis,1982-06-14,0,2008,2008,6,14,USA
Stanley Ernest,1926-01-02,2,1949,1951,1,2,USA
Alva Lee,1923-03-07,0,1953,1953,3,7,USA
Charles Jacob,1896-06-11,6,1918,1924,6,11,USA
James Madison,1908-09-22,0,1929,1929,9,22,USA
Kenneth Eugene,1897-08-08,8,1922,1930,8,8,USA
Edward William,1879-07-06,9,1906,1915,7,6,USA
Jeffrey Owen,1953-03-01,2,1977,1979,3,1,USA
Brian Scott,1965-01-25,3,1988,1991,1,25,USA
Bradley Thomas,1968-02-09,0,1993,1993,2,9,USA
Gary Richard,1944-01-25,1,1968,1969,1,25,USA
Randy Scott,1958-09-18,3,1980,1983,9,18,USA
Shawn Leroy,1964-11-10,0,1989,1989,11,10,USA
David A.,1991-07-19,4,2013,2017,7,19,USA
William Frederick,1912-07-21,2,1943,1945,7,21,USA
Elwood Marter,1896-03-22,0,1918,1918,3,22,USA
Clayton Walter,1993-03-27,1,2018,2019,3,27,USA
Darren Lee,1966-04-25,13,1990,2003,4,25,USA
James William,1869-01-28,10,1895,1905,1,28,USA
Howard Elbert,1883-07-08,0,1906,1906,7,8,USA
Frederick Clarence,1878-07-01,1,1903,1904,7,1,USA
James Scott,1881-08-02,2,1906,1908,8,2,USA
Thomas Francis,1917-03-29,10,1942,1952,3,29,USA
Stephen Robert,1979-10-21,3,2008,2011,10,21,USA
Roscoe Albert,1901-12-28,8,1924,1932,12,28,USA
Herman Alexander,1907-01-20,0,1930,1930,1,20,USA
Brock Wyatt,1988-06-11,7,2012,2019,6,11,USA
