player,birthday,yrs
Nat Militzok,1923-05-03,1
Kelvin Ransey,1958-05-03,6
Domantas Sabonis,1996-05-03,4
Jaylen Adams,1996-05-04,1
Butch Beard,1947-05-04,9
Derrick Caracter,1988-05-04,1
Dorian Finney-Smith,1993-05-04,4
Reggie Harding,1942-05-04,4
George Hill,1986-05-04,12
John Hummer,1948-05-04,6
Frank Jackson,1998-05-04,2
Johnathan Motley,1995-05-04,3
Victor Oladipo,1992-05-04,7
Kevin Porter,2000-05-04,1
Kyle Singler,1988-05-04,6
Bill Buntin,1942-05-05,1
LaPhonso Ellis,1970-05-05,11
Vítor Faverani,1988-05-05,1
Herm Gilliam,1946-05-05,8
Orlando Graham,1965-05-05,1
Isaiah Hartenstein,1998-05-05,2
DerMarr Johnson,1980-05-05,7
Roy McPipe,1950-05-05,1
Harold Miner,1971-05-05,4
Lowes Moore,1957-05-05,3
Stan Patrick,1922-05-05,1
Moe Radovich,1929-05-05,1
Mike Silliman,1944-05-05,1
Larry Steele,1949-05-05,9
P.J. Tucker,1985-05-05,9
Rob Williams,1961-05-05,2
Tom Abernethy,1954-05-06,5
Alexis Ajinça,1988-05-06,7
Ryan Anderson,1988-05-06,12
Sam Dekker,1994-05-06,4
Damyean Dotson,1994-05-06,3
Goran Dragić,1986-05-06,12
Aaron Jackson,1986-05-06,1
Myron Jackson,1964-05-06,1
Oliver Lafayette,1984-05-06,1
Chris Paul,1985-05-06,15
Al Salvadori,1945-05-06,1
Jonas Valančiūnas,1992-05-06,8
Ratko Varda,1979-05-06,1
Leroy Wright,1938-05-06,2
Calvin Booth,1976-05-07,10
Tony Campbell,1962-05-07,11
Jerry Harkness,1940-05-07,3
Amile Jefferson,1993-05-07,2
Tyler Johnson,1992-05-07,6
Yaroslav Korolev,1987-05-07,2
Renaldo Major,1982-05-07,1
Shawn Marion,1978-05-07,16
Marko Milič,1977-05-07,2
Louis Orr,1958-05-07,8
Ben Poquette,1955-05-07,10
Mike Sanders,1960-05-07,11
Bob Weiss,1942-05-07,12
Eddie Lee Wilkins,1962-05-07,6
Mike Wilks,1979-05-07,7
Speedy Claxton,1978-05-08,7
Mike D'Antoni,1951-05-08,4
Keyon Dooling,1980-05-08,13
Dennis Hamilton,1944-05-08,4
Sasha Kaun,1985-05-08,1
Džanan Musa,1999-05-08,2
Pepe Sánchez,1977-05-08,2
Vladimir Stepania,1976-05-08,6
Garrett Temple,1986-05-08,10
Khyri Thomas,1996-05-08,2
Kemba Walker,1990-05-08,9
Lloyd Batts,1951-05-09,1
David Benoit,1968-05-09,7
Nemanja Bjelica,1988-05-09,5
Doug Christie,1970-05-09,15
Yogi Ferrell,1993-05-09,4
Erick Green,1991-05-09,2
Jake Jones,1949-05-09,1
Howard Komives,1941-05-09,10
Timothé Luwawu-Cabarrot,1995-05-09,4
Calvin Murphy*,1948-05-09,13
Chris Porter,1978-05-09,1
Elmore Smith,1949-05-09,8
Dragan Tarlać,1973-05-09,1
Marcus Webb,1970-05-09,1
George Wilson,1942-05-09,7
Don Bielke,1932-05-10,1
Wilson Chandler,1987-05-10,12
Ken Corley,1920-05-10,1
Samuel Dalembert,1981-05-10,13
Al Eberhard,1952-05-10,4
Rudy Hackett,1953-05-10,2
Tyus Jones,1996-05-10,5
Mike Maloy,1949-05-10,3
Barry Parkhill,1951-05-10,3
Danny Schayes,1959-05-10,18
Rony Seikaly,1965-05-10,11
Lamont Strothers,1968-05-10,2
Jerome Williams,1973-05-10,9
Greg Wittman,1947-05-10,2
Leo Barnhorst,1924-05-11,5
Price Brookfield,1920-05-11,2
Bob Christian,1946-05-11,5
Maurice Harkless,1993-05-11,8
Ollie Johnson,1949-05-11,10
Ken Mayfield,1948-05-11,1
Olumide Oyedeji,1981-05-11,3
Jack Twyman*,1934-05-11,11
Kim Anderson,1955-05-12,1
Mohamed Bamba,1998-05-12,2
Keith Bogans,1980-05-12,11
Andre Brown,1981-05-12,3
Kevin Grevey,1953-05-12,10
George Karl,1951-05-12,5
Mouhamed Sene,1986-05-12,3
Gene Tormohlen,1937-05-12,6
Roko Ukić,1984-05-12,2
Bob Williams,1931-05-12,2
Justin Williams,1984-05-12,2
Mike Bibby,1978-05-13,14
Chris Crawford,1975-05-13,7
Dave Deutsch,1945-05-13,1
Bill Gabor,1922-05-13,6
Tony Harris,1967-05-13,3
Trajan Langdon,1976-05-13,3
Dean Meminger,1948-05-13,6
Ben Moore,1995-05-13,1
Peter John Ramos,1985-05-13,1
Dennis Rodman*,1961-05-13,14
Jim Slaughter,1928-05-13,1
Chris Washburn,1965-05-13,2
Walter Berry,1964-05-14,3
Vern Gardner,1925-05-14,3
Eddie House,1978-05-14,11
Voshon Lenard,1973-05-14,11
Jon Leuer,1989-05-14,8
Mark Minor,1950-05-14,1
Pooh Richardson,1966-05-14,10
Uroš Slokar,1983-05-14,1
George Adams,1949-05-15,3
Gene Banks,1959-05-15,6
Torraye Braggs,1976-05-15,2
Greg Bunch,1956-05-15,1
John Clawson,1944-05-15,1
Joe Fabel,1917-05-15,1
Hiram Fuller,1981-05-15,1
Ersan İlyasova,1987-05-15,12
Antonio Lang,1972-05-15,6
Don Nelson*,1940-05-15,14
Jamal Sampson,1983-05-15,5
Keith Tower,1970-05-15,4
Virgil Vaughn,1918-05-15,1
Freeman Williams,1956-05-15,6
Nate Wolters,1991-05-15,3
Charles Bradley,1959-05-16,3
Terence Davis,1997-05-16,1
Quincy Douby,1984-05-16,3
Ed Gayda,1927-05-16,1
Essie Hollis,1955-05-16,1
Arnie Johnson,1920-05-16,5
Carl Kilpatrick,1956-05-16,1
Ognjen Kuzmić,1990-05-16,2
Willie Reed,1990-05-16,3
John Salley,1964-05-16,11
Jerome Beasley,1980-05-17,1
Winford Boynes,1957-05-17,3
Ernest Brown,1979-05-17,1
Hubert Davis,1970-05-17,12
Terrance Ferguson,1998-05-17,3
Channing Frye,1983-05-17,13
Patricio Garino,1993-05-17,1
Bill Herman,1924-05-17,1
Hal Jeter,1945-05-17,1
Pickles Kennedy,1938-05-17,1
Jon Koncak,1963-05-17,11
Danny Manning,1966-05-17,15
Todd Mundt,1970-05-17,1
Tony Parker,1982-05-17,18
Dave Popson,1964-05-17,3
Pablo Prigioni,1977-05-17,4
Chris Smith,1970-05-17,3
Chet Aubuchon,1916-05-18,1
Lawrence Boston,1956-05-18,1
Clint Capela,1994-05-18,6
Reggie Evans,1980-05-18,13
Noble Jorgensen,1925-05-18,5
Ralph Kaplowitz,1919-05-18,2
Donyell Marshall,1973-05-18,15
Ron Mercer,1976-05-18,8
John Morton,1967-05-18,3
Jerry Nagel,1928-05-18,1
Joe Roberts,1936-05-18,4
Jack Stephens,1933-05-18,1
Sam Vincent,1963-05-18,7
Mario Chalmers,1986-05-19,9
Richard Dumas,1969-05-19,3
Butch Feher,1954-05-19,1
Kevin Garnett*,1976-05-19,21
Hamed Haddadi,1985-05-19,5
Bill Laimbeer,1957-05-19,14
Raul Neto,1992-05-19,5
Dolph Schayes*,1928-05-19,15
Brian Skinner,1976-05-19,14
Michael Smith,1965-05-19,3
Jarrod Uthoff,1993-05-19,2
Ruben Boumtje-Boumtje,1978-05-20,3
Terrell Brandon,1970-05-20,11
Patrick Ewing,1984-05-20,1
Bud Grant,1927-05-20,2
Larry Hennessy,1929-05-20,2
Damien Inglis,1995-05-20,1
Enes Kanter,1992-05-20,9
Dick Mehen,1922-05-20,3
Jackie Robinson,1955-05-20,3
Trey Thompkins,1990-05-20,1
Ekpe Udoh,1987-05-20,7
Bill Willoughby,1957-05-20,8
Howard Wood,1959-05-20,1
Julian Wright,1987-05-20,4
James Bailey,1957-05-21,9
Dennis Boyd,1954-05-21,1
Žarko Čabarkapa,1981-05-21,3
Isaiah Canaan,1991-05-21,6
Leo Klier,1923-05-21,2
Mark Landsberger,1955-05-21,7
Jamaal Magloire,1978-05-21,12
Jim Neal,1930-05-21,2
Predrag Savović,1976-05-21,1
Foots Walker,1951-05-21,10
Ron Watts,1943-05-21,2
Randy Brown,1968-05-22,12
Roger Brown*,1942-05-22,8
Chase Budinger,1988-05-22,7
Roger Burkman,1958-05-22,1
Jared Cunningham,1991-05-22,4
Tyler Davis,1997-05-22,1
Mickaël Gelabale,1983-05-22,3
Chad Kinch,1958-05-22,1
Malcolm Lee,1990-05-22,3
Chuck Lloyd,1947-05-22,1
Rob Lock,1966-05-22,1
Lauri Markkanen,1997-05-22,3
Donald Royal,1966-05-22,8
Willie Scott,1947-05-22,1
Larry Siegfried,1939-05-22,9
Joe Smyth,1929-05-22,1
Gundars Vētra,1967-05-22,1
Johnathan Williams,1995-05-22,2
Rasual Butler,1979-05-23,13
Jack Coleman,1924-05-23,9
Courtney Fortson,1988-05-23,1
Kenny Gattison,1964-05-23,9
Jaxson Hayes,2000-05-23,1
Thomas Jordan,1968-05-23,1
Ken McBride,1929-05-23,1
Garland O'Shields,1921-05-23,1
Jeffery Taylor,1989-05-23,3
Rod Thorn*,1941-05-23,8
Howie Dallmar,1922-05-24,3
Joe Dumars*,1963-05-24,14
Jim Eakins,1946-05-24,10
Kenton Edelin,1962-05-24,1
Rolando Ferreira,1964-05-24,1
Cleo Hill,1938-05-24,1
Ron Horn,1938-05-24,3
Mitch Kupchak,1954-05-24,9
Kalin Lucas,1989-05-24,2
Lonnie Lynn,1943-05-24,1
Jarell Martin,1994-05-24,4
Tracy McGrady*,1979-05-24,15
Dewitt Menyard,1944-05-24,1
John Smith,1944-05-24,2
Kendall Gill,1968-05-25,15
Alan Hardy,1957-05-25,2
Marcelo Huertas,1983-05-25,2
K.C. Jones*,1932-05-25,9
Mark Jones,1975-05-25,1
Dino Martin,1920-05-25,2
Norman Powell,1993-05-25,5
Bill Sharman*,1926-05-25,11
Paul Thompson,1961-05-25,3
Derrick Williams,1991-05-25,7
Eric Anderson,1970-05-26,2
Willie Burton,1968-05-26,8
Tang Hamilton,1978-05-26,1
Steve Hawes,1950-05-26,10
Eddie Hughes,1960-05-26,3
Riney Lochmann,1944-05-26,3
Sam Mack,1970-05-26,7
Tom McMillen,1952-05-26,11
Richie Niemiera,1921-05-26,2
Mehmet Okur,1979-05-26,10
Dan Roundfield,1953-05-26,12
Blake Ahearn,1984-05-27,3
Corey Beck,1971-05-27,3
Stuart Gray,1963-05-27,7
Dave Greenwood,1957-05-27,12
Julian Hammond,1943-05-27,5
Willy Hernangómez,1994-05-27,4
Jalen Jones,1993-05-27,2
Allen Leavell,1957-05-27,10
Eric Leckner,1966-05-27,8
George McCloud,1967-05-27,12
Chris McCray,1984-05-27,1
Joe Reaves,1950-05-27,1
Dick Schnittker,1928-05-27,6
Doug West,1967-05-27,12
Travis Williams,1969-05-27,2
Dedric Willoughby,1974-05-27,1
Bob Brannum,1926-05-28,5
Armen Gilliam,1964-05-28,13
Othello Hunter,1986-05-28,2
De'Anthony Melton,1998-05-28,2
Louie Nelson,1951-05-28,5
Glen Rice,1967-05-28,15
Jerry West*,1938-05-28,14
Carmelo Anthony,1984-05-29,17
Maceo Baston,1975-05-29,4
Etdrick Bohannon,1973-05-29,4
Bill Curley,1972-05-29,5
Danny Finn,1928-05-29,3
Alton Ford,1981-05-29,3
Markelle Fultz,1998-05-29,3
Alonzo Gee,1987-05-29,8
Tate George,1968-05-29,4
Richie Guerin*,1932-05-29,13
Stanley Johnson,1996-05-29,5
Loyd King,1949-05-29,2
Raef LaFrentz,1976-05-29,10
Bill Ligon,1952-05-29,1
Wayne Radford,1956-05-29,1
Harrison Barnes,1992-05-30,8
Billy Donovan,1965-05-30,1
Penny Early,1943-05-30,1
Evan Eschmeyer,1975-05-30,4
Chad Gallagher,1969-05-30,1
Eddie Griffin,1982-05-30,5
Jeremy Lamb,1992-05-30,8
Rasho Nesterović,1976-05-30,12
John Postley,1940-05-30,1
Dominic Pressley,1964-05-30,1
Brian Quinnett,1966-05-30,3
Billy Ray Bates,1956-05-31,4
Ron Bonham,1942-05-31,3
Duane Causwell,1968-05-31,11
Shane Edwards,1987-05-31,1
Bob Evans,1925-05-31,1
Bob Ferry,1937-05-31,10
Devin Gray,1972-05-31,2
Happy Hairston,1942-05-31,11
Matt Harpring,1976-05-31,11
Keith Owens,1969-05-31,1
Nate Robinson,1984-05-31,11
Marcus Vinicius,1984-05-31,2
Isaiah Wilson,1948-05-31,2
Tony Bennett,1969-06-01,3
Corey Gaines,1965-06-01,5
Jerel McNeal,1987-06-01,1
Xavier Munford,1992-06-01,2
Johnny O'Bryant,1993-06-01,4
Brian Oliver,1968-06-01,4
Smush Parker,1981-06-01,5
Levern Tart,1942-06-01,4
Mychel Thompson,1988-06-01,1
Anthony Tolliver,1985-06-01,12
Dennis Van Zant,1952-06-01,1
Nick Young,1985-06-01,12
Sam Young,1985-06-01,4
Hank Beenders,1916-06-02,3
Dennis Bell,1951-06-02,3
Earl Boykins,1976-06-02,13
Tom Callahan,1921-06-02,1
Paul Huston,1925-06-02,1
Mile Ilić,1984-06-02,1
Dontae' Jones,1975-06-02,1
Eric Riley,1970-06-02,5
Bobby Simmons,1980-06-02,10
Bill Tosheff,1926-06-02,3
Al Wood,1958-06-02,6
Tierre Brown,1979-06-03,4
Patrick Christopher,1988-06-03,1
Billy Cunningham*,1943-06-03,11
Scott Hastings,1960-06-03,11
Al Horford,1986-06-03,13
Kurk Lee,1967-06-03,1
Tommy O'Keefe,1928-06-03,1
Otto Porter,1993-06-03,7
Ramón Rivas,1966-06-03,1
Scott Roth,1963-06-03,3
Gale Bishop,1922-06-04,1
Kim Hughes,1952-06-04,6
Xavier McDaniel,1963-06-04,12
Greg Monroe,1990-06-04,9
Tim Perry,1965-06-04,8
Josh Reaves,1997-06-04,1
Zhaire Smith,1999-06-04,2
Johnny Taylor,1974-06-04,3
David Vaughn,1952-06-04,2
Bobby Wanzer*,1921-06-04,9
DeVaughn Akoon-Purcell,1993-06-05,1
Antonio Anderson,1985-06-05,1
Matt Bullard,1967-06-05,11
Ed Davis,1989-06-05,10
Austin Daye,1988-06-05,6
Michael Gbinije,1992-06-05,1
Mike Hall,1984-06-05,1
Zydrunas Ilgauskas,1975-06-05,13
Bob Lochmueller,1927-06-05,1
J.P. Macura,1995-06-05,2
Billy McKinney,1955-06-05,7
Royce O'Neale,1993-06-05,3
Kirk Snyder,1983-06-05,4
Marcus Thornton,1987-06-05,8
Jack Turner,1939-06-05,1
Cal Christensen,1927-06-06,5
John Garris,1959-06-06,1
Jonathan Kerner,1974-06-06,1
Frankie King,1972-06-06,2
Ollie Mack,1957-06-06,3
Mitch McGary,1992-06-06,2
John Rudometkin,1940-06-06,3
Robert Sacre,1989-06-06,4
James Scott,1972-06-06,1
Jackson Vroman,1981-06-06,2
Roland West,1944-06-06,1
Chuck Williams,1946-06-06,8
Jarrell Brantley,1996-06-07,1
Howie Carl,1938-06-07,1
Jordan Clarkson,1992-06-07,6
George Glamack,1918-06-07,1
Calvin Graham,1944-06-07,1
Danuel House,1993-06-07,4
Allen Iverson*,1975-06-07,14
Jermaine Jackson,1976-06-07,5
John Laskowski,1953-06-07,2
Tito Maddox,1981-06-07,1
Mike Ratliff,1951-06-07,2
Cazzie Russell,1944-06-07,12
Mirsad Türkcan,1976-06-07,1
Bill Zopf,1948-06-07,1
Wesley Bialosuknia,1945-06-08,1
Anthony Bonner,1968-06-08,6
Mark Davis,1963-06-08,1
Lonnie Eggleston,1918-06-08,1
Dave Feitl,1962-06-08,5
Scott Machado,1990-06-08,2
Mark McNamara,1959-06-08,8
Thales McReynolds,1943-06-08,1
Jim Palmer,1933-06-08,3
Bryant Reeves,1973-06-08,6
Anfernee Simons,1999-06-08,2
Ken Wilburn,1944-06-08,2
Dave Zeller,1939-06-08,1
Udonis Haslem,1980-06-09,17
Dwayne Jones,1983-06-09,5
Billy Knight,1952-06-09,11
Jim Nolan,1927-06-09,1
Peja Stojaković,1977-06-09,13
Brian Taylor,1951-06-09,10
Sebastian Telfair,1985-06-09,10
Wayman Tisdale,1964-06-09,12
Kenny Williams,1969-06-09,4
Ben Clyde,1951-06-10,1
Paul Dawkins,1957-06-10,1
John Gianelli,1950-06-10,8
Ralph Hamilton,1921-06-10,1
Steve Lingenfelter,1958-06-10,2
Jon McGlocklin,1943-06-10,11
Sviatoslav Mykhailiuk,1997-06-10,2
Johnny Orr,1927-06-10,1
Howie Shannon,1923-06-10,2
Jeff Teague,1988-06-10,11
Jake Tsakalidis,1979-06-10,7
Elston Turner,1959-06-10,8
Jay Vincent,1959-06-10,9
Tyrone Wallace,1994-06-10,3
Tommy Woods,1943-06-10,1
Ira Bowman,1973-06-11,3
Butch Carter,1958-06-11,6
Craig Dykema,1959-06-11,1
Joey Graham,1982-06-11,6
Stephen Graham,1982-06-11,6
Chuck Hayes,1983-06-11,11
Earnie Killum,1948-06-11,1
Eric Maynor,1987-06-11,5
Melvin Newbern,1967-06-11,1
Walter Piatkowski,1945-06-11,3
Luther Rackley,1946-06-11,5
Davon Reed,1995-06-11,2
Ron Sanford,1946-06-11,1
Mike Todorovich,1923-06-11,2
Darius Bazley,2000-06-12,1
Brian Brunkhorst,1945-06-12,1
Jason Caffey,1973-06-12,8
John Douglas,1956-06-12,2
Jake Fendley,1929-06-12,2
Art Hillhouse,1916-06-12,2
Jrue Holiday,1990-06-12,11
Antawn Jamison,1976-06-12,16
Kerry Kittles,1974-06-12,8
Joe Kopicki,1960-06-12,3
Lee Mayberry,1970-06-12,7
Ray McCallum,1991-06-12,3
Mychal Mulder,1994-06-12,1
Al Negratti,1921-06-12,1
Sergio Rodríguez,1986-06-12,5
Rory Sparrow,1958-06-12,12
Earl Watson,1979-06-12,13
Freddie Boyd,1950-06-13,6
Paul Cloyd,1920-06-13,1
Bruce Flowers,1957-06-13,1
Jack Garfinkel,1918-06-13,3
Linton Johnson,1980-06-13,6
Gary Keller,1944-06-13,2
Jalen Lecque,2000-06-13,1
Šarūnas Marčiulionis*,1964-06-13,7
Jamario Moon,1980-06-13,5
Juan Carlos Navarro,1980-06-13,1
Chuck Nevitt,1959-06-13,9
Steve Novak,1983-06-13,11
Fred Saunders,1951-06-13,4
Hassan Whiteside,1989-06-13,8
RJ Barrett,2000-06-14,1
Bruce Bowen,1971-06-14,13
Rick Brunson,1972-06-14,9
Dan Godfread,1967-06-14,2
Keith Herron,1956-06-14,3
Cory Higgins,1989-06-14,2
Jerry Kelly,1918-06-14,2
Gil McGregor,1949-06-14,1
Eric Murdock,1968-06-14,9
Justin Patton,1997-06-14,3
Charlie Paulk,1946-06-14,3
Sam Perkins,1961-06-14,17
Tony Smith,1968-06-14,9
Gabe Vincent,1996-06-14,1
Charlie Black,1921-06-15,3
John Brisker,1947-06-15,6
Wayne Chapman,1945-06-15,4
Byron Dinkins,1967-06-15,2
Michael Doleac,1977-06-15,10
Mike Harris,1983-06-15,4
Salah Mejri,1986-06-15,4
Jérôme Moïso,1978-06-15,5
Brent Scott,1971-06-15,1
D.J. Strawberry,1985-06-15,1
Žan Tabak,1970-06-15,6
Herb White,1948-06-15,1
Rick Adelman,1946-06-16,7
Brandon Armstrong,1980-06-16,3
Ky Bowman,1997-06-16,1
Bill Bradley,1941-06-16,1
Anthony Carter,1975-06-16,13
Mickey Davis,1950-06-16,6
Darrell Griffith,1958-06-16,10
Lee Johnson,1957-06-16,1
Alex Len,1993-06-16,7
John Mahnken,1922-06-16,7
Mamadou N'Diaye,1975-06-16,5
Nemanja Nedović,1991-06-16,1
Tree Rollins,1955-06-16,18
Hank Rosenstein,1920-06-16,1
Shawnelle Scott,1972-06-16,4
Al Skinner,1952-06-16,6
Andrew White,1993-06-16,1
Bob Armstrong,1933-06-17,1
Johnny Baum,1946-06-17,5
Amir Coffey,1997-06-17,1
Joe Crawford,1986-06-17,1
Terry Davis,1967-06-17,10
Nick Fazekas,1985-06-17,1
Bill Garner,1940-06-17,1
Ed Johnson,1944-06-17,3
Edgar Jones,1956-06-17,6
Popeye Jones,1970-06-17,11
Georges Niang,1993-06-17,4
Worthy Patterson,1931-06-17,1
Allan Ray,1984-06-17,1
Damjan Rudež,1986-06-17,3
Odie Spears,1924-06-17,8
Jim Springer,1926-06-17,1
Maurice Stokes*,1933-06-17,3
Michael Bytzura,1922-06-18,1
Ndudi Ebi,1984-06-18,2
Jacob Evans,1997-06-18,2
Mike Kearns,1929-06-18,1
George Mikan*,1924-06-18,7
Eddie Miller,1931-06-18,2
Maurice Ndour,1992-06-18,1
Bruce Seals,1953-06-18,5
Moe Barr,1944-06-19,1
Jud Buechler,1968-06-19,12
Jimmy Darden,1922-06-19,1
George Johnson,1947-06-19,4
Jeremiah Martin,1996-06-19,1
Travis Mays,1968-06-19,3
Dirk Nowitzki,1978-06-19,21
Anthony Parker,1975-06-19,9
Jordan Poole,1999-06-19,1
Wayne Stevens,1936-06-19,1
Skeeter Swift,1946-06-19,5
Ira Terrell,1954-06-19,2
Whitey Von Nieda,1922-06-19,1
Mario West,1984-06-19,4
Marvin Williams,1986-06-19,15
Hassan Adams,1984-06-20,2
Luke Babbitt,1989-06-20,8
Oshae Brissett,1998-06-20,1
Josh Childress,1983-06-20,8
Winston Crite,1965-06-20,2
Jerry Fowler,1927-06-20,1
Gordan Giriček,1977-06-20,6
DeQuan Jones,1990-06-20,1
Fab Melo,1990-06-20,1
Darko Miličić,1985-06-20,10
Patrick O'Bryant,1986-06-20,4
Rodney Rogers,1971-06-20,12
Blackie Towery,1920-06-20,2
Elliot Williams,1989-06-20,4
Herschel Baltimore,1921-06-21,1
Mike Brittain,1963-06-21,2
Tom Chambers,1959-06-21,16
Derrick Coleman,1967-06-21,15
Brian Davis,1970-06-21,1
JaMychal Green,1990-06-21,6
Greg Hyder,1948-06-21,1
Richard Jefferson,1980-06-21,17
Ronnie Price,1983-06-21,12
Jimmy Rayl,1941-06-21,2
Derrick Rowland,1959-06-21,1
Donald Sidle,1946-06-21,4
Jeremy Tyler,1991-06-21,3
Floyd Volker,1921-06-21,1
Loren Woods,1978-06-21,6
Thaddeus Young,1988-06-21,13
Cory Alexander,1973-06-22,7
Greg Anderson,1964-06-22,10
Darrell Armstrong,1968-06-22,14
Omri Casspi,1988-06-22,10
Rastko Cvetković,1970-06-22,1
Zoran Dragić,1989-06-22,1
Clyde Drexler*,1962-06-22,15
Christian Eyenga,1989-06-22,2
Bob Gantt,1922-06-22,1
Danny Green,1987-06-22,11
Norm Grekin,1930-06-22,1
Milo Komenich,1920-06-22,1
Pete Maravich*,1947-06-22,10
Keith McCord,1957-06-22,1
John Oldham,1923-06-22,2
Carlos Terry,1956-06-22,3
Hawkeye Whitney,1957-06-22,2
David Andersen,1980-06-23,2
Nando De Colo,1987-06-23,2
Walter Dukes,1930-06-23,8
Acie Earl,1970-06-23,4
Mark Hendrickson,1974-06-23,4
Mike James,1975-06-23,12
Pete Lalich,1920-06-23,1
Rich Manning,1970-06-23,2
Anthony Pullard,1966-06-23,1
Sam Ranzino,1928-06-23,1
Jerry Rullo,1923-06-23,4
LaSalle Thompson,1961-06-23,15
Rudy White,1953-06-23,5
Dontonio Wingfield,1974-06-23,4
Alaa Abdelnaby,1968-06-24,5
Larry Foust,1928-06-24,12
Taj Gibson,1985-06-24,11
Lancaster Gordon,1962-06-24,4
Art Heyman,1941-06-24,6
Les Jepsen,1967-06-24,2
Kannard Johnson,1965-06-24,1
Sam Jones*,1933-06-24,12
Luke Kennard,1996-06-24,3
Steve Patterson,1948-06-24,5
J.J. Redick,1984-06-24,14
Daniel Santiago,1976-06-24,4
David Stockton,1991-06-24,2
Leon Blevins,1926-06-25,1
Duane Cooper,1969-06-25,2
Dell Curry,1964-06-25,16
Michael Dickerson,1975-06-25,5
Glenn Hagan,1955-06-25,1
Reggie Johnson,1957-06-25,4
Frank Kudelka,1925-06-25,4
Ian Lockhart,1967-06-25,1
Dikembe Mutombo*,1966-06-25,18
Willis Reed*,1942-06-25,10
J.J. Barea,1984-06-26,14
Bob Bedell,1944-06-26,4
Raymond Felton,1984-06-26,14
Rudy Gobert,1992-06-26,7
Hal Greer*,1936-06-26,15
Walter Herrmann,1979-06-26,3
Jerome Kersey,1962-06-26,17
Tony Koski,1946-06-26,1
Quincy Lewis,1977-06-26,4
Jay Murphy,1962-06-26,4
Iman Shumpert,1990-06-26,9
Deron Williams,1984-06-26,12
Ward Williams,1923-06-26,1
Malik Allen,1978-06-27,10
John Barber,1927-06-27,1
Alex Blackwell,1970-06-27,1
Stan Brown,1929-06-27,2
Russell Critchfield,1946-06-27,1
Larry Demic,1957-06-27,3
Landry Fields,1988-06-27,5
Craig Hodges,1960-06-27,10
Brice Johnson,1994-06-27,2
Kevin Joyce,1951-06-27,3
Monte Morris,1995-06-27,3
Chuck Person,1964-06-27,13
Ed Peterson,1924-06-27,2
Joe Young,1992-06-27,3
Bradley Beal,1993-06-28,8
Damone Brown,1979-06-28,4
Bobby Hurley,1971-06-28,5
Andrew Lang,1966-06-28,12
Jeff Malone,1961-06-28,13
Tom Owens,1949-06-28,12
Giff Roux,1923-06-28,3
Jim Spanarkel,1957-06-28,5
Rodney White,1980-06-28,4
Terrence Williams,1987-06-28,4
Jake Bornheimer,1927-06-29,2
Bob Burrow,1934-06-29,2
Terry Dozier,1966-06-29,1
Joe Johnson,1981-06-29,17
Willie Jones,1936-06-29,5
Bob Lavoy,1926-06-29,4
Kawhi Leonard,1991-06-29,9
Gene Littles,1943-06-29,6
Shamorie Ponds,1998-06-29,1
Michael Porter,1998-06-29,1
Bob Rule,1944-06-29,8
Doug Sims,1943-06-29,1
Jack Turner,1930-06-29,1
Trevor Ariza,1985-06-30,16
Warren Davis,1943-06-30,6
Bubbles Hawkins,1954-06-30,4
Damian Jones,1995-06-30,4
Gene Ollrich,1922-06-30,1
Tariq Owens,1995-06-30,1
Mitch Richmond*,1965-06-30,14
Fred Schaus,1925-06-30,5
Kent Bazemore,1989-07-01,8
George Bon Salle,1935-07-01,1
Sean Colson,1975-07-01,1
Charles Cooke,1994-07-01,1
James Ennis,1990-07-01,6
Tom Kozelko,1951-07-01,3
Ibo Kutluay,1974-07-01,1
Freddie Lewis,1943-07-01,11
Bucky McConnell,1928-07-01,1
Mike Muscala,1991-07-01,7
Jim Washington,1943-07-01,11
Guy Williams,1960-07-01,2
Bracey Wright,1984-07-01,2
Marquese Chriss,1997-07-02,4
Larry Costello,1931-07-02,12
Bob Dille,1917-07-02,1
George Feigenbaum,1928-07-02,2
Juaquin Hawkins,1973-07-02,1
Elvin Ivory,1948-07-02,1
Clark Kellogg,1961-07-02,5
Jim Lampley,1960-07-02,1
Maurice Martin,1964-07-02,2
Andre Moore,1964-07-02,1
Rich Niemann,1946-07-02,4
George Pearcy,1919-07-02,1
Curtis Rowe,1949-07-02,8
Purvis Short,1957-07-02,12
Jon Sundvold,1961-07-02,9
Derrick White,1994-07-02,3
Jabari Bird,1994-07-03,1
David Burns,1958-07-03,1
Bob Carrington,1953-07-03,2
Derrick Chievous,1967-07-03,3
Jamie Feick,1974-07-03,5
Marlon Garnett,1975-07-03,1
Jeff Halliburton,1949-07-03,2
Collis Jones,1949-07-03,4
Paul McPherson,1978-07-03,1
Boštjan Nachbar,1980-07-03,6
Georgios Papagiannis,1997-07-03,2
Aulcie Perry,1950-07-03,1
Willie Porter,1942-07-03,2
Alex Scales,1978-07-03,1
Howie Schultz,1922-07-03,3
Charlie Sitton,1962-07-03,1
Garry Witts,1959-07-03,1
Ömer Aşık,1986-07-04,8
DeAndre' Bembry,1994-07-04,4
Adrian Caldwell,1966-07-04,6
Jay Carty,1941-07-04,1
Coty Clarke,1992-07-04,1
Geoff Crompton,1955-07-04,5
Chink Crossin,1923-07-04,3
Harvey Grant,1965-07-04,11
Horace Grant,1965-07-04,17
Adrian Griffin,1974-07-04,9
Al Lucas,1922-07-04,1
Jawann Oldham,1957-07-04,10
